movie_company,rating,western_violent_movie
"""Klock Worx Company",5.0,The Keeper
"""Klock Worx Company",5.0,The Keeper
"""Klock Worx Company",5.0,The Keeper
"""Match Factory",5.7,Tannöd
"""Walt Disney Company",5.2,Paul Blart: Mall Cop
01 Distribution,6.7,The Bad Lieutenant: Port of Call - New Orleans
01 Distribution,6.7,The Bad Lieutenant: Port of Call - New Orleans
01 Distribution,6.7,The Bad Lieutenant: Port of Call - New Orleans
01 Distribuzione,6.7,Crossing Over
01 Distribuzione,4.2,Direct Contact
01 Distribuzione,4.2,Direct Contact
01 Distribuzione,4.2,Direct Contact
01 Distribuzione,4.2,Direct Contact
01 Distribuzione,4.2,Direct Contact
01 Distribuzione,4.2,Direct Contact
20th Century Fox,5.5,12 Rounds
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,3.1,Dragonball Evolution
20th Century Fox,3.1,Dragonball Evolution
20th Century Fox,3.1,Dragonball Evolution
20th Century Fox,3.1,Dragonball Evolution
20th Century Fox,3.1,Dragonball Evolution
20th Century Fox,3.1,Dragonball Evolution
20th Century Fox,3.1,Dragonball Evolution
20th Century Fox,6.4,Notorious
20th Century Fox,6.4,Notorious
20th Century Fox,6.4,Notorious
20th Century Fox,6.4,Notorious
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,5.5,12 Rounds
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,5.1,Jennifer's Body
20th Century Fox,5.1,Jennifer's Body
20th Century Fox,5.1,Jennifer's Body
20th Century Fox,5.5,12 Rounds
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,3.1,Dragonball Evolution
20th Century Fox,5.5,12 Rounds
20th Century Fox,5.5,12 Rounds
20th Century Fox,5.5,12 Rounds
20th Century Fox,5.5,12 Rounds
20th Century Fox,5.5,12 Rounds
20th Century Fox,5.5,12 Rounds
20th Century Fox,5.5,12 Rounds
20th Century Fox,5.5,12 Rounds
20th Century Fox,3.1,Dragonball Evolution
20th Century Fox,6.9,Orphan
20th Century Fox,6.9,Orphan
20th Century Fox,6.9,Orphan
20th Century Fox,6.9,Orphan
20th Century Fox,5.0,The Final Destination
20th Century Fox,3.1,Dragonball Evolution
20th Century Fox,3.1,Dragonball Evolution
20th Century Fox,3.1,Dragonball Evolution
20th Century Fox,5.5,12 Rounds
20th Century Fox,4.9,Miss March
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,5.4,Whiteout
20th Century Fox,6.8,Where the Wild Things Are
20th Century Fox,6.8,Where the Wild Things Are
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,5.4,Whiteout
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox Australia,5.1,Jennifer's Body
20th Century Fox de Argentina,3.1,Dragonball Evolution
20th Century Fox de Argentina,3.1,Dragonball Evolution
20th Century Fox de Argentina,5.1,Jennifer's Body
20th Century Fox de Argentina,6.7,X-Men Origins: Wolverine
20th Century Fox de Argentina,6.7,X-Men Origins: Wolverine
20th Century Fox de Argentina,6.7,X-Men Origins: Wolverine
20th Century Fox de Chile,3.1,Dragonball Evolution
20th Century Fox de Chile,3.1,Dragonball Evolution
20th Century Fox de Venezuela,6.7,X-Men Origins: Wolverine
20th Century Fox de Venezuela,6.7,X-Men Origins: Wolverine
20th Century Fox de Venezuela,6.7,X-Men Origins: Wolverine
20th Century Fox Home Entertainment,6.7,X-Men Origins: Wolverine
20th Century Fox Home Entertainment,5.3,The Pink Panther 2
20th Century Fox Home Entertainment,6.7,X-Men Origins: Wolverine
20th Century Fox Home Entertainment,6.7,X-Men Origins: Wolverine
20th Century Fox Home Entertainment,6.7,X-Men Origins: Wolverine
20th Century Fox Home Entertainment,6.7,X-Men Origins: Wolverine
20th Century Fox Home Entertainment,6.7,X-Men Origins: Wolverine
20th Century Fox Home Entertainment,6.7,X-Men Origins: Wolverine
20th Century Fox Home Entertainment,6.7,X-Men Origins: Wolverine
