movie_company,rating,western_violent_movie
"""Asylum",4.0,When a Killer Calls
"""Asylum",2.0,The Da Vinci Treasure
"""Asylum",2.5,The Hitchhiker
"""Asylum",2.5,The Hitchhiker
"""Asylum",2.5,The Hitchhiker
"""Asylum",1.9,Supercroc
"""Columbia College",7.8,Elina
"""Films de l'Elysée",7.9,Earth
"""Films de l'Elysée",7.9,Earth
"""Hallmark Channel",5.6,Danika
"""Hallmark Channel",5.6,Danika
"""Hallmark Channel",5.6,Danika
"""Klock Worx Company",5.7,Premonition
"""Klock Worx Company",5.0,The Keeper
"""Klock Worx Company",5.0,The Keeper
"""Klock Worx Company",5.0,The Keeper
"""Match Factory",7.0,Ajami
"""Match Factory",7.0,Ajami
"""Match Factory",7.0,Ajami
"""Match Factory",7.0,Ajami
"""Match Factory",5.7,Tannöd
"""Sci-Fi Channel",4.9,Abominable
"""Sci-Fi Channel",7.7,Haunted
"""Walt Disney Company",5.2,Paul Blart: Mall Cop
"""Walt Disney Company",8.0,Ratatouille
"""Walt Disney Company",7.0,Deja Vu
"""Walt Disney Company",7.0,Deja Vu
"""Weinstein Company",5.4,Kill Buljo: The Movie
"""Weinstein Company",5.4,Kill Buljo: The Movie
"""Weinstein Company",5.4,Kill Buljo: The Movie
"""Weinstein Company",7.9,Persepolis
"""Weinstein Company",7.9,Persepolis
"""Weinstein Company",5.4,Kill Buljo: The Movie
"""Weinstein Company",5.4,Kill Buljo: The Movie
"""Weinstein Company",5.4,Kill Buljo: The Movie
"""Weinstein Company",6.6,The Forbidden Kingdom
"""Weinstein Company",6.6,The Forbidden Kingdom
"""Weinstein Company",6.6,The Forbidden Kingdom
"""Weinstein Company",6.6,The Forbidden Kingdom
"""Weinstein Company",6.6,The Forbidden Kingdom
"""Weinstein Company",6.6,The Forbidden Kingdom
"""Weinstein Company",6.6,The Forbidden Kingdom
"""Weinstein Company",6.6,The Forbidden Kingdom
"""Weinstein Company",6.6,The Forbidden Kingdom
"""Weinstein Company",6.7,Cassandra's Dream
"""Weinstein Company",6.7,Cassandra's Dream
"""Weinstein Company",7.4,Roman Polanski: Wanted and Desired
"""Works",5.7,Hatchet
"""Works",5.7,Hatchet
"""Works",5.7,Hatchet
"""Works",6.8,Interview
"""Works UK Distribution",6.8,Interview
"""Works UK Distribution",7.2,Mongol
01 Distribution,6.7,The Bad Lieutenant: Port of Call - New Orleans
01 Distribution,6.7,The Bad Lieutenant: Port of Call - New Orleans
01 Distribution,6.7,The Bad Lieutenant: Port of Call - New Orleans
01 Distribuzione,6.7,Crossing Over
01 Distribuzione,4.2,Direct Contact
01 Distribuzione,4.2,Direct Contact
01 Distribuzione,4.2,Direct Contact
01 Distribuzione,4.2,Direct Contact
01 Distribuzione,4.2,Direct Contact
01 Distribuzione,4.2,Direct Contact
01 Distribuzione,6.0,Miracle at St. Anna
01 Distribuzione,6.0,Miracle at St. Anna
01 Rai Cinema,7.1,John Rabe
01 Rai Cinema,7.1,John Rabe
111 Pictures,6.3,Look
13th Street,8.3,Popping Cherry
13th Street,8.3,Popping Cherry
2-1-0 Films,7.3,Den brysomme mannen
20th Century Fox,3.1,Dragonball Evolution
20th Century Fox,4.0,Basic Instinct 2
20th Century Fox,7.1,Body of Lies
20th Century Fox,8.0,Blood Diamond
20th Century Fox,3.1,Dragonball Evolution
20th Century Fox,8.0,Blood Diamond
20th Century Fox,8.0,Blood Diamond
20th Century Fox,8.0,Blood Diamond
20th Century Fox,8.0,Blood Diamond
20th Century Fox,3.1,Dragonball Evolution
20th Century Fox,3.1,Dragonball Evolution
20th Century Fox,8.0,Blood Diamond
20th Century Fox,3.1,Dragonball Evolution
20th Century Fox,3.1,Dragonball Evolution
20th Century Fox,7.3,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
20th Century Fox,7.3,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
20th Century Fox,7.3,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
20th Century Fox,8.0,Blood Diamond
20th Century Fox,8.0,Blood Diamond
20th Century Fox,4.0,Basic Instinct 2
20th Century Fox,7.1,Body of Lies
20th Century Fox,7.3,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
20th Century Fox,3.1,Dragonball Evolution
20th Century Fox,7.1,Body of Lies
20th Century Fox,3.1,Dragonball Evolution
20th Century Fox,3.1,Dragonball Evolution
20th Century Fox,3.1,Dragonball Evolution
20th Century Fox,3.1,Dragonball Evolution
20th Century Fox,3.1,Dragonball Evolution
20th Century Fox,8.0,Blood Diamond
20th Century Fox,7.3,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,4.9,Miss March
20th Century Fox,5.2,My Super Ex-Girlfriend
20th Century Fox,5.2,My Super Ex-Girlfriend
20th Century Fox,5.2,My Super Ex-Girlfriend
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,7.2,Rocky Balboa
20th Century Fox,7.6,Sherlock Holmes
20th Century Fox,7.6,Sherlock Holmes
20th Century Fox,7.6,Sherlock Holmes
20th Century Fox,7.6,Sherlock Holmes
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,7.2,Rocky Balboa
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,7.2,Rocky Balboa
20th Century Fox,7.6,Sherlock Holmes
20th Century Fox,6.0,Mirrors
20th Century Fox,6.0,Mirrors
20th Century Fox,6.0,Mirrors
20th Century Fox,6.0,Mirrors
20th Century Fox,6.0,Mirrors
20th Century Fox,6.0,Mirrors
20th Century Fox,6.0,Mirrors
20th Century Fox,6.0,Mirrors
20th Century Fox,7.6,Sherlock Holmes
20th Century Fox,6.0,Mirrors
20th Century Fox,6.0,Mirrors
20th Century Fox,6.0,Mirrors
20th Century Fox,6.0,Mirrors
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,6.8,Street Kings
20th Century Fox,7.9,Taken
20th Century Fox,7.3,Sunshine
20th Century Fox,6.8,Street Kings
20th Century Fox,6.8,Street Kings
20th Century Fox,7.3,Sunshine
20th Century Fox,5.4,The Omen
20th Century Fox,7.3,Sunshine
20th Century Fox,5.4,The Omen
20th Century Fox,5.4,The Omen
20th Century Fox,6.8,Street Kings
20th Century Fox,7.3,Sunshine
20th Century Fox,7.5,Sweeney Todd: The Demon Barber of Fleet Street
20th Century Fox,5.4,The Omen
20th Century Fox,5.4,The Omen
20th Century Fox,5.4,The Omen
20th Century Fox,5.0,Shutter
20th Century Fox,5.0,Shutter
20th Century Fox,5.0,Shutter
20th Century Fox,7.5,Sweeney Todd: The Demon Barber of Fleet Street
20th Century Fox,7.3,Sunshine
20th Century Fox,6.8,Street Kings
20th Century Fox,6.8,Street Kings
20th Century Fox,6.8,Street Kings
20th Century Fox,6.8,Street Kings
20th Century Fox,6.8,Street Kings
20th Century Fox,6.8,Street Kings
20th Century Fox,6.8,Street Kings
20th Century Fox,6.8,Street Kings
20th Century Fox,6.8,Street Kings
20th Century Fox,7.9,Taken
20th Century Fox,7.9,Taken
20th Century Fox,7.9,Taken
20th Century Fox,7.9,Taken
20th Century Fox,6.8,Street Kings
20th Century Fox,7.9,Taken
20th Century Fox,6.8,Street Kings
20th Century Fox,7.3,Sunshine
20th Century Fox,6.0,The Sentinel
20th Century Fox,6.0,The Sentinel
20th Century Fox,6.8,X-Men: The Last Stand
20th Century Fox,6.8,X-Men: The Last Stand
20th Century Fox,5.8,The X Files: I Want to Believe
20th Century Fox,5.8,The X Files: I Want to Believe
20th Century Fox,5.8,The X Files: I Want to Believe
20th Century Fox,5.8,The X Files: I Want to Believe
20th Century Fox,5.8,The X Files: I Want to Believe
