movie_company,rating,western_violent_movie
"""7th Floor",6.9,Julia
"""7th Floor",6.9,Julia
"""Adrenalin Group Productions",2.7,Fistful of Brains
"""Alberta Film Development Program of the Alberta Foundation for the Arts",5.6,September Dawn
"""Alberta Film Development Program of the Alberta Foundation for the Arts",5.6,September Dawn
"""American Film Company",6.9,The Conspirator
"""Animal Rescue",6.3,Behind the Mask
"""Asylum",3.3,Freakshow
"""Asylum",3.3,Freakshow
"""Asylum",2.7,Exorcism: The Possession of Gail Bowers
"""Asylum",2.7,Exorcism: The Possession of Gail Bowers
"""Asylum",2.7,Exorcism: The Possession of Gail Bowers
"""Asylum",1.9,12/12/12
"""Asylum",2.0,The Da Vinci Treasure
"""Asylum",2.0,The Da Vinci Treasure
"""Asylum",2.0,The Da Vinci Treasure
"""Asylum",4.0,When a Killer Calls
"""Asylum",4.0,When a Killer Calls
"""Asylum",2.5,The Hitchhiker
"""Asylum",3.8,The Haunting of Whaley House
"""Asylum",3.8,The Haunting of Whaley House
"""Asylum",2.5,The Hitchhiker
"""Asylum",2.5,The Hitchhiker
"""Asylum",2.5,The Hitchhiker
"""Asylum",2.5,The Hitchhiker
"""Asylum",2.5,The Hitchhiker
"""Asylum",1.9,Supercroc
"""Asylum",1.9,Supercroc
"""Asylum Home Entertainment",5.5,100 Feet
"""Asylum Home Entertainment",3.4,Ballistica
"""Asylum Home Entertainment",3.4,Ballistica
"""Asylum Home Entertainment",3.8,100 Ghost Street: The Return of Richard Speck
"""Asylum Home Entertainment",5.5,100 Feet
"""Asylum Home Entertainment",5.5,100 Feet
"""Asylum Home Entertainment",3.8,100 Ghost Street: The Return of Richard Speck
"""Asylum Home Entertainment",5.5,100 Feet
"""Asylum Home Entertainment",2.3,Dracula's Curse
"""Asylum Home Entertainment",2.7,Exorcism: The Possession of Gail Bowers
"""Asylum Home Entertainment",2.7,Exorcism: The Possession of Gail Bowers
"""Asylum Home Entertainment",2.7,Exorcism: The Possession of Gail Bowers
"""Asylum Home Entertainment",4.0,When a Killer Calls
"""Asylum Home Entertainment",2.0,The Da Vinci Treasure
"""Asylum Home Entertainment",2.0,The Da Vinci Treasure
"""Ava Farm",2.1,Ecstasy of Gold
"""Banque Postale Image 3",6.4,La princesse de Montpensier
"""Banque Postale Image 3",6.4,La princesse de Montpensier
"""Bedford Falls Company",7.1,Defiance
"""Bedford Falls Company",7.1,Defiance
"""Bedford Falls Company",7.1,Defiance
"""Belle Allee Productions",5.9,Valhalla Rising
"""Bigger Picture",4.9,Thr3e
"""Bosko Group",3.3,Slices of Life
"""Bosko Group",3.3,Slices of Life
"""Bosko Group",3.2,The Absent
"""Bosko Group",3.2,The Absent
"""Bosko Group",3.2,The Absent
"""Bubble Factory",3.8,Creature
"""Bubble Factory",3.8,Creature
"""Bubble Factory",3.8,Creature
"""Bubble Factory",3.8,Creature
"""Carberg Studio",4.9,Kill Zone
"""Carberg Studio",4.9,Kill Zone
"""Carberg Studio",4.9,Kill Zone
"""Carberg Studio",4.9,Kill Zone
"""Carberg Studio",4.9,Kill Zone
"""Carberg Studio",4.9,Kill Zone
"""Carousel Picture Company",3.5,Minotaur
"""Carousel Picture Company",3.5,Minotaur
"""Chimney Pot",8.0,Låt den rätte komma in
"""Chimney Pot",8.0,Låt den rätte komma in
"""Chimney Pot",7.0,Iztochni piesi
"""Cinema Guild",6.5,Alle Anderen
"""Cinema Guild",4.5,Wade in the Water
"""Cinema Guild",6.5,Sommer '04
"""Collective",5.7,V/H/S
"""Collective",5.7,V/H/S
"""Collective",5.7,V/H/S
"""Collective",6.1,The Woman
"""Collective",6.1,The Woman
"""Collective",6.6,The Education of Charlie Banks
"""Collective",4.5,YellowBrickRoad
"""Collective",4.5,YellowBrickRoad
"""Collective Film Group",4.0,The Collective
"""Collective Film Group",4.0,The Collective
"""Colleton Company",8.3,Popping Cherry
"""Columbia College",7.8,Elina
"""Columbia College",7.8,Elina
"""Company Pictures",4.9,The Man Who Came Back
"""Complex Studio",7.7,Lucky Number Slevin
"""Complex Studio",7.7,Lucky Number Slevin
"""Complex Studio",7.7,Lucky Number Slevin
"""Complex Studio",7.7,Lucky Number Slevin
"""Complex Studio",7.7,Lucky Number Slevin
"""Complex Studio",7.7,Lucky Number Slevin
"""Cook Movie",3.9,The Cook
"""Cook Movie",3.9,The Cook
"""Cook Movie",3.9,The Cook
"""Criterion Collection",6.8,The Forgiveness of Blood
"""Criterion Collection",6.8,The Forgiveness of Blood
"""Criterion Collection",6.5,Antichrist
"""Criterion Collection",6.5,Antichrist
"""Criterion Collection",6.5,Antichrist
"""Criterion Collection",6.5,Antichrist
"""Criterion Collection",6.5,Antichrist
"""Criterion Collection",6.5,Antichrist
"""Criterion Collection",6.5,Antichrist
"""Criterion Collection",6.5,Antichrist
"""Criterion Collection",6.5,Antichrist
"""Criterion Collection",7.1,Che: Part One
"""Curiosity Company",7.4,The Simpsons Movie
"""Cutaia Group",5.0,Under New Management
"""Documentary Group",6.4,Girl Rising
"""Film Department",7.3,Law Abiding Citizen
"""Film Department",7.3,Law Abiding Citizen
"""Film Department",7.3,Law Abiding Citizen
"""Film Farm",6.1,Redacted
"""Film Works",5.3,Yesterday's Tomorrow
"""Films de l'Elysée",7.9,Earth
"""Films de l'Elysée",7.9,Earth
"""Films de l'Elysée",5.5,Saw 3D
"""Films de l'Elysée",5.5,Saw 3D
"""Films de l'Elysée",6.1,Seeking Justice
"""Fourth Production Company Film Group",6.8,Mission: Impossible III
"""Fourth Production Company Film Group",6.8,Mission: Impossible III
"""Fria Luz Del Dia",4.8,The Cold Light of Day
"""Fria Luz Del Dia",4.8,The Cold Light of Day
"""Genre Co.",6.1,Mother's Day
"""Genre Co.",6.1,Mother's Day
"""Genre Co.",4.9,Silent Night
"""Global Asylum",3.8,The Haunting of Whaley House
"""Global Asylum",2.5,The Hitchhiker
"""Global Asylum",2.5,The Hitchhiker
"""Global Asylum",2.5,The Hitchhiker
"""Global Asylum",2.7,Shark Week
"""Global Asylum",2.7,Shark Week
"""Global Asylum",2.0,The Da Vinci Treasure
"""Global Asylum",2.0,The Da Vinci Treasure
"""Global Asylum",1.9,12/12/12
"""Grisbi Productions",7.6,End of Watch
"""Halcyon Company",6.7,Terminator Salvation
"""Halcyon Company",6.7,Terminator Salvation
