movie_company,rating,complete_euro_dark_movie
"""H.O.M. Vision bv",6.0,Impostor
"""H.O.M. Vision bv",6.0,Impostor
"""Works",5.4,Havoc
"""Works",5.4,Havoc
01 Distribuzione,6.2,Human Nature
01 Distribuzione,8.3,Der Untergang
01 Distribuzione,8.3,Der Untergang
01 Distribuzione,8.3,Der Untergang
01 Distribuzione,7.5,The Aviator
01 Distribuzione,6.2,The Human Stain
01 Distribuzione,6.2,The Human Stain
01 Distribuzione,7.1,Monster's Ball
01 Distribuzione,6.2,The Human Stain
01 Distribuzione,6.2,The Human Stain
1More Film,7.0,The Cooler
1More Film,7.0,The Cooler
20th Century Fox,7.4,The Simpsons Movie
20th Century Fox,7.6,Sherlock Holmes
20th Century Fox,6.9,Orphan
20th Century Fox,6.9,Orphan
20th Century Fox,7.9,Taken
20th Century Fox,7.9,Taken
20th Century Fox,7.9,Taken
20th Century Fox,7.9,Taken
20th Century Fox,7.9,Taken
20th Century Fox,7.4,The Simpsons Movie
20th Century Fox,7.4,The Simpsons Movie
20th Century Fox,7.4,The Simpsons Movie
20th Century Fox,7.5,Waking Life
20th Century Fox,7.0,The Secret Life of Bees
20th Century Fox,7.0,The Secret Life of Bees
20th Century Fox,7.0,The Secret Life of Bees
20th Century Fox,5.8,The X Files: I Want to Believe
20th Century Fox,5.8,The X Files: I Want to Believe
20th Century Fox,5.8,The X Files: I Want to Believe
20th Century Fox,5.3,The Pink Panther
20th Century Fox,5.3,The Pink Panther
20th Century Fox,5.3,The Pink Panther
20th Century Fox,5.8,The X Files: I Want to Believe
20th Century Fox,5.8,The X Files: I Want to Believe
20th Century Fox,5.1,The Happening
20th Century Fox,6.4,Notorious
20th Century Fox,6.4,Notorious
20th Century Fox,6.4,Notorious
20th Century Fox,6.4,Notorious
20th Century Fox,5.1,The Happening
20th Century Fox,5.1,The Happening
20th Century Fox,7.6,Sherlock Holmes
20th Century Fox,7.6,Sherlock Holmes
20th Century Fox,7.6,Sherlock Holmes
20th Century Fox,6.9,Orphan
20th Century Fox,6.9,Orphan
20th Century Fox,7.6,Sherlock Holmes
20th Century Fox,7.6,Sherlock Holmes
20th Century Fox,7.5,Waking Life
20th Century Fox,5.8,The X Files: I Want to Believe
20th Century Fox,5.8,The X Files: I Want to Believe
20th Century Fox,5.8,The X Files: I Want to Believe
20th Century Fox,7.9,Taken
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,7.7,Minority Report
20th Century Fox,7.7,Minority Report
20th Century Fox,7.7,Minority Report
20th Century Fox,7.7,Minority Report
20th Century Fox,7.7,Minority Report
20th Century Fox,7.1,Antwone Fisher
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,7.7,Minority Report
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,7.3,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
20th Century Fox,7.3,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
20th Century Fox,7.3,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
20th Century Fox,7.3,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
20th Century Fox,7.3,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox Australia,8.0,Avatar
20th Century Fox Australia,8.0,Avatar
20th Century Fox Australia,8.0,Avatar
20th Century Fox Australia,8.0,Avatar
20th Century Fox Australia,8.0,Avatar
20th Century Fox Australia,8.0,Avatar
20th Century Fox de Argentina,5.4,Club Dread
20th Century Fox de Argentina,7.7,Minority Report
20th Century Fox de Argentina,5.4,Club Dread
20th Century Fox de Argentina,7.1,Antwone Fisher
20th Century Fox de Argentina,7.5,Ice Age
20th Century Fox de Argentina,7.3,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
20th Century Fox de Argentina,7.7,Minority Report
20th Century Fox de Argentina,7.7,Minority Report
20th Century Fox de Argentina,7.0,Runaway Jury
20th Century Fox de Argentina,7.9,Taken
20th Century Fox de Argentina,7.4,The Simpsons Movie
20th Century Fox de Argentina,7.5,Waking Life
20th Century Fox de Argentina,5.1,The Happening
20th Century Fox de Argentina,5.8,The X Files: I Want to Believe
20th Century Fox de Argentina,6.7,The Deep End
20th Century Fox de Argentina,5.8,The X Files: I Want to Believe
20th Century Fox de Argentina,6.7,The Deep End
20th Century Fox de Argentina,5.3,The Pink Panther
20th Century Fox de Argentina,7.0,The Secret Life of Bees
20th Century Fox de Argentina,7.9,Taken
20th Century Fox de Argentina,7.9,Taken
20th Century Fox de Argentina,7.0,Runaway Jury
20th Century Fox de Venezuela,7.4,The Simpsons Movie
20th Century Fox de Venezuela,8.0,Avatar
20th Century Fox de Venezuela,8.0,Avatar
20th Century Fox de Venezuela,8.0,Avatar
20th Century Fox Home Entertainment,7.7,Minority Report
20th Century Fox Home Entertainment,5.4,Club Dread
20th Century Fox Home Entertainment,7.7,Minority Report
20th Century Fox Home Entertainment,7.7,Minority Report
20th Century Fox Home Entertainment,7.7,Minority Report
20th Century Fox Home Entertainment,7.7,Minority Report
20th Century Fox Home Entertainment,7.7,Minority Report
20th Century Fox Home Entertainment,7.3,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
20th Century Fox Home Entertainment,5.4,Club Dread
20th Century Fox Home Entertainment,7.9,Taken
20th Century Fox Home Entertainment,7.0,Runaway Jury
20th Century Fox Home Entertainment,7.0,The Secret Life of Bees
20th Century Fox Home Entertainment,7.9,Taken
20th Century Fox Home Entertainment,7.9,Taken
20th Century Fox Home Entertainment,7.9,Taken
20th Century Fox Home Entertainment,7.9,Taken
20th Century Fox Home Entertainment,7.9,Taken
20th Century Fox Home Entertainment,6.7,The Deep End
20th Century Fox Home Entertainment,6.7,The Deep End
20th Century Fox Home Entertainment,7.9,Taken
20th Century Fox Home Entertainment,6.4,Notorious
20th Century Fox Home Entertainment,6.4,Notorious
20th Century Fox Home Entertainment,7.9,Taken
20th Century Fox Home Entertainment,7.0,Runaway Jury
20th Century Fox Home Entertainment,7.0,Runaway Jury
20th Century Fox Home Entertainment,7.0,Runaway Jury
20th Century Fox Home Entertainment,7.4,The Simpsons Movie
20th Century Fox Home Entertainment,7.9,Taken
20th Century Fox Home Entertainment,7.9,Taken
20th Century Fox Home Entertainment,7.9,Taken
20th Century Fox Home Entertainment,7.5,Waking Life
20th Century Fox Home Entertainment,7.9,Taken
20th Century Fox Home Entertainment España S.A.,7.5,Ice Age
