movie_company,rating,complete_euro_dark_movie
"""Klock Worx Company",5.7,Premonition
"""Klock Worx Company",5.0,The Keeper
"""Klock Worx Company",5.0,The Keeper
"""Klock Worx Company",5.0,The Keeper
"""Sci-Fi Channel",4.9,Abominable
"""Walt Disney Company",5.2,Paul Blart: Mall Cop
"""Walt Disney Company",8.0,Ratatouille
"""Works",6.8,Interview
"""Works UK Distribution",6.8,Interview
01 Distribuzione,6.7,Crossing Over
01 Distribuzione,6.0,Miracle at St. Anna
01 Distribuzione,6.0,Miracle at St. Anna
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.1,Lions for Lambs
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,5.3,Max Payne
20th Century Fox,5.3,Max Payne
20th Century Fox,5.3,Max Payne
20th Century Fox,5.3,Max Payne
20th Century Fox,5.3,Max Payne
20th Century Fox,5.3,Max Payne
20th Century Fox,5.3,Max Payne
20th Century Fox,5.3,Max Payne
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,6.3,Ninja Assassin
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,5.4,Whiteout
20th Century Fox,5.4,Whiteout
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,5.2,My Super Ex-Girlfriend
20th Century Fox,5.2,My Super Ex-Girlfriend
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,3.8,One Missed Call
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.1,Lions for Lambs
20th Century Fox,3.8,One Missed Call
20th Century Fox,5.3,Pathfinder
20th Century Fox,5.3,Pathfinder
20th Century Fox,5.3,Pathfinder
20th Century Fox,5.3,Pathfinder
20th Century Fox,5.3,Pathfinder
20th Century Fox,5.3,Pathfinder
20th Century Fox,6.1,Lions for Lambs
20th Century Fox,6.1,Lions for Lambs
20th Century Fox,6.1,Lions for Lambs
20th Century Fox,6.1,Lions for Lambs
20th Century Fox,6.1,Lions for Lambs
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.1,Lions for Lambs
20th Century Fox,6.1,Lions for Lambs
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.1,Lions for Lambs
20th Century Fox,6.1,Lions for Lambs
20th Century Fox,6.1,Lions for Lambs
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,6.7,X-Men Origins: Wolverine
20th Century Fox,5.2,My Super Ex-Girlfriend
20th Century Fox,6.8,Street Kings
20th Century Fox,6.0,The Sentinel
20th Century Fox,6.0,The Sentinel
20th Century Fox,7.3,The Fountain
20th Century Fox,7.3,The Fountain
20th Century Fox,6.8,Street Kings
20th Century Fox,6.8,Street Kings
20th Century Fox,6.8,Street Kings
20th Century Fox,6.8,Street Kings
20th Century Fox,6.8,Street Kings
20th Century Fox,6.8,Street Kings
20th Century Fox,7.3,The Fountain
20th Century Fox,7.3,The Fountain
20th Century Fox,7.3,The Fountain
20th Century Fox,7.3,The Fountain
20th Century Fox,7.3,The Fountain
20th Century Fox,7.3,The Fountain
20th Century Fox,6.8,Street Kings
20th Century Fox,7.3,The Fountain
20th Century Fox,7.3,The Fountain
20th Century Fox,5.5,12 Rounds
20th Century Fox,5.5,12 Rounds
20th Century Fox,5.5,12 Rounds
20th Century Fox,5.5,12 Rounds
20th Century Fox,5.5,12 Rounds
20th Century Fox,5.5,12 Rounds
20th Century Fox,5.5,12 Rounds
20th Century Fox,5.5,12 Rounds
20th Century Fox,5.5,12 Rounds
20th Century Fox,5.5,12 Rounds
20th Century Fox,5.5,12 Rounds
20th Century Fox,5.5,12 Rounds
20th Century Fox,7.3,The Fountain
20th Century Fox,6.8,Street Kings
20th Century Fox,6.8,Street Kings
20th Century Fox,7.3,The Fountain
20th Century Fox,5.0,Shutter
20th Century Fox,5.0,Shutter
20th Century Fox,6.8,Street Kings
20th Century Fox,5.0,The Final Destination
20th Century Fox,6.8,The Brave One
20th Century Fox,6.8,The Brave One
20th Century Fox,6.8,The Brave One
20th Century Fox,7.8,The Hangover
20th Century Fox,7.8,The Hangover
20th Century Fox,5.0,Shutter
20th Century Fox,6.8,Street Kings
20th Century Fox,6.8,Street Kings
20th Century Fox,6.8,Street Kings
20th Century Fox,6.0,The Sentinel
20th Century Fox,6.4,The Hills Have Eyes
20th Century Fox,6.4,The Hills Have Eyes
20th Century Fox,6.4,The Hills Have Eyes
20th Century Fox,6.0,The Sentinel
20th Century Fox,6.0,The Sentinel
20th Century Fox,6.0,The Sentinel
20th Century Fox,6.8,Street Kings
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,7.1,Valkyrie
20th Century Fox,8.0,Avatar
20th Century Fox,7.8,Apocalypto
20th Century Fox,5.4,Babylon A.D.
20th Century Fox,5.4,Babylon A.D.
20th Century Fox,5.4,Babylon A.D.
20th Century Fox,5.4,Babylon A.D.
20th Century Fox,5.5,Fool's Gold
20th Century Fox,5.4,Babylon A.D.
20th Century Fox,5.4,Babylon A.D.
20th Century Fox,5.4,Babylon A.D.
20th Century Fox,5.4,Babylon A.D.
20th Century Fox,5.4,Babylon A.D.
20th Century Fox,4.0,Basic Instinct 2
20th Century Fox,4.0,Basic Instinct 2
20th Century Fox,5.6,4: Rise of the Silver Surfer
20th Century Fox,5.6,4: Rise of the Silver Surfer
20th Century Fox,5.6,4: Rise of the Silver Surfer
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,5.6,4: Rise of the Silver Surfer
20th Century Fox,5.6,4: Rise of the Silver Surfer
20th Century Fox,5.6,4: Rise of the Silver Surfer
20th Century Fox,5.6,4: Rise of the Silver Surfer
20th Century Fox,5.6,4: Rise of the Silver Surfer
20th Century Fox,5.6,4: Rise of the Silver Surfer
20th Century Fox,5.1,Jennifer's Body
20th Century Fox,5.1,Jennifer's Body
20th Century Fox,6.6,Australia
20th Century Fox,6.6,Australia
20th Century Fox,6.6,Australia
20th Century Fox,6.6,Australia
20th Century Fox,6.6,Australia
20th Century Fox,6.6,Australia
20th Century Fox,6.6,Australia
20th Century Fox,6.6,Australia
20th Century Fox,6.6,Australia
20th Century Fox,6.6,Australia
20th Century Fox,6.6,Australia
20th Century Fox,6.6,Australia
20th Century Fox,6.6,Australia
20th Century Fox,6.6,Australia
20th Century Fox,5.1,Jennifer's Body
20th Century Fox,5.6,4: Rise of the Silver Surfer
20th Century Fox,7.4,Harry Potter and the Half-Blood Prince
20th Century Fox,7.4,Harry Potter and the Half-Blood Prince
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,7.1,Body of Lies
20th Century Fox,7.1,Body of Lies
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,7.1,Body of Lies
20th Century Fox,7.8,Apocalypto
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,8.0,Avatar
20th Century Fox,5.4,Babylon A.D.
20th Century Fox,5.4,Babylon A.D.
20th Century Fox,7.8,Apocalypto
20th Century Fox,7.1,I Am Legend
20th Century Fox,5.4,Babylon A.D.
20th Century Fox Australia,5.4,Babylon A.D.
20th Century Fox Australia,5.6,Jimmy and Judy
20th Century Fox Australia,8.0,Avatar
20th Century Fox Australia,4.0,Basic Instinct 2
20th Century Fox Australia,8.0,Avatar
20th Century Fox Australia,8.0,Avatar
20th Century Fox Australia,8.0,Avatar
20th Century Fox Australia,5.4,Babylon A.D.
20th Century Fox Australia,5.4,Babylon A.D.
20th Century Fox Australia,5.4,Babylon A.D.
20th Century Fox Australia,4.0,Basic Instinct 2
20th Century Fox Australia,5.1,Jennifer's Body
20th Century Fox Australia,8.0,Avatar
20th Century Fox Australia,8.0,Avatar
20th Century Fox Australia,5.6,Jimmy and Judy
20th Century Fox Australia,5.6,Jimmy and Judy
20th Century Fox Australia,7.3,The Fountain
20th Century Fox Australia,7.3,The Fountain
20th Century Fox Australia,6.1,Lions for Lambs
20th Century Fox Australia,6.1,Lions for Lambs
20th Century Fox Brazil,5.4,Babylon A.D.
20th Century Fox Brazil,5.4,Babylon A.D.
20th Century Fox de Argentina,6.6,Australia
20th Century Fox de Argentina,5.6,4: Rise of the Silver Surfer
20th Century Fox de Argentina,5.4,Babylon A.D.
20th Century Fox de Argentina,7.8,Apocalypto
20th Century Fox de Argentina,6.6,Australia
20th Century Fox de Argentina,5.6,4: Rise of the Silver Surfer
20th Century Fox de Argentina,5.6,Bandidas
20th Century Fox de Argentina,7.8,Apocalypto
20th Century Fox de Argentina,7.8,Apocalypto
20th Century Fox de Argentina,5.1,Jennifer's Body
20th Century Fox de Argentina,5.4,Babylon A.D.
20th Century Fox de Argentina,6.7,X-Men Origins: Wolverine
20th Century Fox de Argentina,5.2,My Super Ex-Girlfriend
20th Century Fox de Argentina,6.2,Love in the Time of Cholera
20th Century Fox de Argentina,6.7,X-Men Origins: Wolverine
20th Century Fox de Argentina,6.1,Lions for Lambs
20th Century Fox de Argentina,5.3,Pathfinder
20th Century Fox de Argentina,5.3,Pathfinder
20th Century Fox de Argentina,6.1,Lions for Lambs
20th Century Fox de Argentina,5.3,Max Payne
20th Century Fox de Argentina,6.7,X-Men Origins: Wolverine
20th Century Fox de Argentina,5.3,Max Payne
20th Century Fox de Argentina,6.4,The Hills Have Eyes
20th Century Fox de Argentina,7.3,The Fountain
20th Century Fox de Argentina,7.3,The Fountain
20th Century Fox de Argentina,6.8,Street Kings
20th Century Fox de Argentina,6.8,Street Kings
20th Century Fox de Argentina,6.8,Street Kings
20th Century Fox de Argentina,5.0,Shutter
20th Century Fox de Argentina,6.4,The Hills Have Eyes
20th Century Fox de Argentina,6.4,The Hills Have Eyes
20th Century Fox de Argentina,6.0,The Sentinel
20th Century Fox de Argentina,6.0,The Sentinel
20th Century Fox de Argentina,7.1,Valkyrie
20th Century Fox de Argentina,7.1,Valkyrie
20th Century Fox de Argentina,7.1,Valkyrie
20th Century Fox de Argentina,7.1,Valkyrie
20th Century Fox de Argentina,7.1,Valkyrie
20th Century Fox de Argentina,7.1,Valkyrie
20th Century Fox de Venezuela,6.7,X-Men Origins: Wolverine
20th Century Fox de Venezuela,6.7,X-Men Origins: Wolverine
20th Century Fox de Venezuela,6.7,X-Men Origins: Wolverine
20th Century Fox de Venezuela,8.0,Avatar
20th Century Fox de Venezuela,8.0,Avatar
20th Century Fox de Venezuela,8.0,Avatar
20th Century Fox Home Entertainment,6.6,Australia
20th Century Fox Home Entertainment,5.6,4: Rise of the Silver Surfer
20th Century Fox Home Entertainment,7.8,Apocalypto
20th Century Fox Home Entertainment,7.0,Charlie Bartlett
20th Century Fox Home Entertainment,5.6,4: Rise of the Silver Surfer
20th Century Fox Home Entertainment,7.8,Apocalypto
20th Century Fox Home Entertainment,7.8,Apocalypto
20th Century Fox Home Entertainment,6.6,Australia
20th Century Fox Home Entertainment,6.6,Australia
20th Century Fox Home Entertainment,6.6,Australia
20th Century Fox Home Entertainment,6.6,Australia
20th Century Fox Home Entertainment,6.6,Australia
20th Century Fox Home Entertainment,6.6,Australia
20th Century Fox Home Entertainment,6.6,Australia
20th Century Fox Home Entertainment,6.6,Australia
20th Century Fox Home Entertainment,6.6,Australia
20th Century Fox Home Entertainment,4.3,Black Christmas
20th Century Fox Home Entertainment,4.3,Black Christmas
20th Century Fox Home Entertainment,6.6,Australia
20th Century Fox Home Entertainment,6.6,Australia
20th Century Fox Home Entertainment,6.7,Quantum of Solace
20th Century Fox Home Entertainment,6.7,Quantum of Solace
20th Century Fox Home Entertainment,6.7,X-Men Origins: Wolverine
20th Century Fox Home Entertainment,6.7,X-Men Origins: Wolverine
20th Century Fox Home Entertainment,6.7,X-Men Origins: Wolverine
20th Century Fox Home Entertainment,5.3,Pathfinder
20th Century Fox Home Entertainment,5.2,My Super Ex-Girlfriend
20th Century Fox Home Entertainment,5.3,Pathfinder
20th Century Fox Home Entertainment,6.7,X-Men Origins: Wolverine
20th Century Fox Home Entertainment,5.3,Pathfinder
20th Century Fox Home Entertainment,5.3,Pathfinder
20th Century Fox Home Entertainment,6.7,X-Men Origins: Wolverine
20th Century Fox Home Entertainment,6.7,X-Men Origins: Wolverine
20th Century Fox Home Entertainment,6.7,X-Men Origins: Wolverine
20th Century Fox Home Entertainment,6.7,X-Men Origins: Wolverine
20th Century Fox Home Entertainment,6.7,X-Men Origins: Wolverine
20th Century Fox Home Entertainment,7.1,Valkyrie
20th Century Fox Home Entertainment,7.1,Valkyrie
20th Century Fox Home Entertainment,7.1,Valkyrie
20th Century Fox Home Entertainment,7.1,Valkyrie
20th Century Fox Home Entertainment,7.1,Valkyrie
20th Century Fox Home Entertainment,7.1,Valkyrie
20th Century Fox Home Entertainment,7.1,Valkyrie
20th Century Fox Home Entertainment,7.1,Valkyrie
20th Century Fox Home Entertainment,7.1,Valkyrie
20th Century Fox Home Entertainment,7.1,Valkyrie
20th Century Fox Home Entertainment,7.1,Valkyrie
20th Century Fox Home Entertainment,7.1,Valkyrie
20th Century Fox Home Entertainment,6.6,Severance
20th Century Fox Home Entertainment,6.0,The Sentinel
20th Century Fox Home Entertainment,6.8,Street Kings
20th Century Fox Home Entertainment,6.8,Street Kings
20th Century Fox Home Entertainment,6.8,Street Kings
20th Century Fox Home Entertainment,6.8,Street Kings
20th Century Fox Home Entertainment,6.8,Street Kings
20th Century Fox Home Entertainment,6.8,Street Kings
20th Century Fox Home Entertainment,6.8,Street Kings
20th Century Fox Home Entertainment,6.8,Street Kings
20th Century Fox Home Entertainment,6.8,Street Kings
20th Century Fox Home Entertainment,6.0,The Sentinel
