command,mean,stddev,median,user,system,min,max
10a,11.7959124022,0,11.7959124022,0.0106462,0.0045588,11.7959124022,11.7959124022
11a,0.0936536942,0,0.0936536942,0.0112292,0.006088799999999999,0.0936536942,0.0936536942
11b,0.026253110200000002,0,0.026253110200000002,0.0113292,0.0046078,0.026253110200000002,0.026253110200000002
11c,3.0801647362,0,3.0801647362,0.0112392,0.005748799999999999,3.0801647362,3.0801647362
11d,1.9148701522,0,1.9148701522,0.0111942,0.0038887999999999995,1.9148701522,1.9148701522
12a,2.6574785272,0,2.6574785272,0.0111442,0.0041968,2.6574785272,2.6574785272
12b,2.3312023612,0,2.3312023612,0.011497199999999999,0.005852799999999999,2.3312023612,2.3312023612
12c,10.0534577782,0,10.0534577782,0.010978199999999999,0.004762799999999999,10.0534577782,10.0534577782
13a,5.5555728192,0,5.5555728192,0.0113312,0.0065618,5.5555728192,5.5555728192
13b,5.4863526112,0,5.4863526112,0.0111492,0.0042178,5.4863526112,5.4863526112
13c,5.2406184442,0,5.2406184442,0.0111072,0.0046308,5.2406184442,5.2406184442
13d,20.7202901522,0,20.7202901522,0.011464199999999999,0.0054858,20.7202901522,20.7202901522
14a,5.9642643612,0,5.9642643612,0.011602199999999998,0.006172799999999999,5.9642643612,5.9642643612
14b,2.5829137782,0,2.5829137782,0.0115222,0.0056028,2.5829137782,2.5829137782
14c,12.4628187782,0,12.4628187782,0.011125199999999998,0.0036857999999999995,12.4628187782,12.4628187782
15a,2.4086874862,0,2.4086874862,0.011013199999999999,0.0040008,2.4086874862,2.4086874862
15b,1.0440530692,0,1.0440530692,0.011257199999999998,0.004114799999999999,1.0440530692,1.0440530692
15c,5.7713035692,0,5.7713035692,0.0112632,0.0045388,5.7713035692,5.7713035692
15d,6.0783111112,0,6.0783111112,0.011550199999999998,0.005656799999999999,6.0783111112,6.0783111112
16a,3.5231155282,0,3.5231155282,0.011627199999999999,0.005488799999999999,3.5231155282,3.5231155282
16b,23.170230569199997,0,23.170230569199997,0.011507199999999999,0.0052347999999999995,23.170230569199997,23.170230569199997
