estimated,actual,depth
4.0,4.0,0
4.0,4.0,0
4.0,4.0,0
4.0,4.0,1
4.0,4.0,1
4.0,4.0,1
0.0,1.0,1
4.0,4.0,1
0.0,1379.0,1
0.0,0.0,1
0.0,1.0,1
4.0,4.0,1
1.0,1.0,1
0.0,1.0,1
4.0,4.0,1
236.0,0.0,1
44847.0,0.0,1
44847.0,0.0,1
9.0,28.0,1
0.0,0.0,1
1050.0,0.0,1
26252.0,2825.0,1
1.0,1.0,1
5191.0,0.0,1
301.0,4.0,1
1.0,1.0,1
167202.0,2206.0,1
2.0,0.0,1
167202.0,7721.0,1
2.0,0.0,1
2904.0,6.0,1
3225.0,0.0,1
25805.0,646.0,1
1130000.0,0.0,1
1130000.0,0.0,1
10200000.0,777076.0,1
0.0,0.0,1
753.0,17287.0,1
0.0,0.0,1
76240.0,2440000.0,1
1.0,1.0,1
7.0,0.0,1
339.0,146.0,1
1.0,0.0,1
0.0,1.0,2
4.0,4.0,2
4.0,4.0,2
24.0,30.0,2
0.0,0.0,2
235034.0,234997.0,2
4758.0,3.0,2
1.0,1.0,2
23791.0,48.0,2
1.0,1.0,2
0.0,1.0,2
4.0,4.0,2
0.0,93.0,2
1.0,1.0,2
0.0,1.0,2
4.0,4.0,2
0.0,0.0,2
18.0,18.0,2
68.0,0.0,2
135359.0,135086.0,2
3.0,3.0,2
0.0,148.0,2
0.0,1379.0,2
1.0,1.0,2
2.0,0.0,2
0.0,0.0,2
135359.0,135086.0,2
0.0,1.0,2
177.0,0.0,2
12.0,2.0,2
1.0,0.0,2
135359.0,135086.0,2
0.0,1.0,2
23.0,0.0,2
0.0,259939.0,2
0.0,0.0,2
44847.0,0.0,2
44847.0,0.0,2
44847.0,0.0,2
44847.0,0.0,2
0.0,0.0,2
1.0,12.0,2
6.0,2.0,2
1.0,1.0,2
1050.0,0.0,2
10501.0,1556.0,2
0.0,0.0,2
26252.0,2825.0,2
3880.0,2840.0,2
6.0,0.0,2
5191.0,0.0,2
5191.0,0.0,2
301.0,4.0,2
0.0,8.0,2
0.0,0.0,2
499716.0,206.0,2
167202.0,2206.0,2
5.0,45.0,2
499716.0,7099.0,2
167202.0,7721.0,2
5.0,36.0,2
2904.0,6.0,2
26140.0,1070.0,2
0.0,0.0,2
3225.0,0.0,2
1079.0,0.0,2
113.0,113.0,2
25805.0,646.0,2
8634.0,740.0,2
2.0,0.0,2
113.0,113.0,2
1130000.0,0.0,2
3970000.0,0.0,2
1130000.0,0.0,2
3970000.0,0.0,2
10200000.0,777076.0,2
10200000.0,777076.0,2
0.0,0.0,2
1.0,0.0,2
74.0,99.0,2
753.0,17287.0,2
1.0,1.0,2
1.0,1.0,2
76240.0,2440000.0,2
76240.0,2440000.0,2
1.0,1.0,2
7.0,0.0,2
640.0,66718.0,2
0.0,0.0,2
339.0,103.0,2
339.0,146.0,2
1.0,1.0,2
4.0,4.0,3
4.0,4.0,3
113.0,113.0,3
12180.0,459925.0,3
113.0,113.0,3
12180.0,459925.0,3
135359.0,135086.0,3
1.0,1.0,3
7.0,7.0,3
0.0,16.0,3
0.0,16.0,3
0.0,1.0,3
7.0,0.0,3
14.0,19.0,3
1.0,1.0,3
1.0,1.0,3
2350.0,1.0,3
11.0,99.0,3
1.0,1.0,3
4758.0,3.0,3
47582.0,7112.0,3
0.0,422.0,3
23791.0,48.0,3
237911.0,42900.0,3
0.0,0.0,3
135359.0,135086.0,3
0.0,2.0,3
0.0,93.0,3
0.0,93.0,3
135359.0,135086.0,3
0.0,2.0,3
295.0,0.0,3
0.0,0.0,3
2.0,2.0,3
1687.0,1158.0,3
4.0,4.0,3
205.0,0.0,3
684.0,0.0,3
13536.0,49145.0,3
0.0,1.0,3
113.0,113.0,3
2.0,199895.0,3
0.0,0.0,3
5.0,338.0,3
1.0,1.0,3
13536.0,85941.0,3
0.0,1.0,3
113.0,113.0,3
11.0,1.0,3
13536.0,85941.0,3
1.0,1.0,3
0.0,825177.0,3
0.0,0.0,3
1.0,1.0,3
451537.0,0.0,3
451537.0,0.0,3
2.0,478.0,3
0.0,0.0,3
13.0,109.0,3
