label,join_buffer_size_bytes,spill_ratio,spill_count,optimistic_count,optimism_level,duration_s
10b,1572864,0.0,0,0,0.0,12.477834583
10b,1572864,0.0,0,0,0.0,12.4581815
10b,1572864,0.0,0,0,0.0,12.982614416
10b,1572864,0.0,0,0,0.0,12.460059084
10b,1572864,0.0,0,0,0.0,12.45036575
10b,1572864,0.0,0,0,0.0,12.464421625
10b,1572864,0.0,0,0,0.0,12.46085925
10b,1572864,0.0,0,0,0.0,12.45765425
10b,1572864,0.0,0,0,0.0,12.468177375
10b,1572864,0.0,0,0,0.0,12.462946541
10b,1572864,0.0,0,2,0.2,12.466381083
10b,1572864,0.0,0,2,0.2,12.489407333
10b,1572864,0.0,0,2,0.2,12.463810458
10b,1572864,0.0,0,2,0.2,12.45601475
10b,1572864,0.0,0,2,0.2,12.457791083
10b,1572864,0.0,0,2,0.2,12.460657166
10b,1572864,0.0,0,2,0.2,12.47145425
10b,1572864,0.0,0,2,0.2,12.442780875
10b,1572864,0.0,0,2,0.2,12.450989583
10b,1572864,0.0,0,2,0.2,12.477299292
10b,1572864,0.0,0,2,0.4,12.464803708
10b,1572864,0.0,0,2,0.4,12.529405582999999
10b,1572864,0.0,0,2,0.4,12.472372917
10b,1572864,0.0,0,2,0.4,12.450719792
10b,1572864,0.0,0,2,0.4,12.456798833
10b,1572864,0.0,0,2,0.4,12.462785083
10b,1572864,0.0,0,2,0.4,12.460770542
10b,1572864,0.0,0,2,0.4,12.455751916
10b,1572864,0.0,0,2,0.4,12.507881291
10b,1572864,0.0,0,2,0.4,12.47096925
10b,1572864,0.0,0,2,0.6,12.525139041
10b,1572864,0.0,0,2,0.6,12.449560708
10b,1572864,0.0,0,2,0.6,13.553999875
10b,1572864,0.0,0,2,0.6,12.397853084
10b,1572864,0.0,0,2,0.6,12.366434083
10b,1572864,0.0,0,2,0.6,12.607853083
10b,1572864,0.0,0,2,0.6,12.601423833
10b,1572864,0.0,0,2,0.6,12.484351375
10b,1572864,0.0,0,2,0.6,12.459219083
10b,1572864,0.0,0,2,0.6,12.444184
10b,1572864,0.0,0,2,0.8,12.446415
10b,1572864,0.0,0,2,0.8,12.449910791
10b,1572864,0.0,0,2,0.8,12.589454542
10b,1572864,0.0,0,2,0.8,12.56869775
10b,1572864,0.0,0,2,0.8,12.61654325
10b,1572864,0.0,0,2,0.8,12.58284975
10b,1572864,0.0,0,2,0.8,12.443736041
10b,1572864,0.0,0,2,0.8,12.474007125
10b,1572864,0.0,0,2,0.8,12.433945292
10b,1572864,0.0,0,2,0.8,12.475389042
10b,1572864,0.0,0,3,1.0,12.463941083
10b,1572864,0.0,0,3,1.0,12.462740916
10b,1572864,0.0,0,3,1.0,12.469072625
10b,1572864,0.0,0,3,1.0,12.459663833
10b,1572864,0.0,0,3,1.0,12.509201833
10b,1572864,0.0,0,3,1.0,12.458095292
10b,1572864,0.0,0,3,1.0,12.45258675
10b,1572864,0.0,0,3,1.0,12.453717375
10b,1572864,0.0,0,3,1.0,12.459618125
10b,1572864,0.0,0,3,1.0,12.462147292
