label,join_buffer_size_bytes,spill_ratio,spill_count,optimistic_count,optimism_level,duration_s
10b,3145728,0.0,0,0,0.0,12.453264958
10b,3145728,0.0,0,0,0.0,12.477035833
10b,3145728,0.0,0,0,0.0,12.469151667
10b,3145728,0.0,0,0,0.0,12.465386792
10b,3145728,0.0,0,0,0.0,12.454338792
10b,3145728,0.0,0,0,0.0,12.454377416
10b,3145728,0.0,0,0,0.0,12.451818917
10b,3145728,0.0,0,0,0.0,12.473619833
10b,3145728,0.0,0,0,0.0,12.464893875
10b,3145728,0.0,0,0,0.0,12.474347875
10b,3145728,0.0,0,2,0.2,12.466899125
10b,3145728,0.0,0,2,0.2,12.463486
10b,3145728,0.0,0,2,0.2,12.449062083
10b,3145728,0.0,0,2,0.2,12.960798416
10b,3145728,0.0,0,2,0.2,12.477939625
10b,3145728,0.0,0,2,0.2,12.466986833
10b,3145728,0.0,0,2,0.2,12.480252125
10b,3145728,0.0,0,2,0.2,12.456457667
10b,3145728,0.0,0,2,0.2,12.469529834
10b,3145728,0.0,0,2,0.2,12.453347042
10b,3145728,0.0,0,2,0.4,12.460753709
10b,3145728,0.0,0,2,0.4,12.468616917
10b,3145728,0.0,0,2,0.4,12.452309041
10b,3145728,0.0,0,2,0.4,12.483035
10b,3145728,0.0,0,2,0.4,12.443762417
10b,3145728,0.0,0,2,0.4,12.470902084
10b,3145728,0.0,0,2,0.4,12.452519375
10b,3145728,0.0,0,2,0.4,12.453064459
10b,3145728,0.0,0,2,0.4,12.454387875
10b,3145728,0.0,0,2,0.4,12.456633541
10b,3145728,0.0,0,2,0.6,12.458673417
10b,3145728,0.0,0,2,0.6,12.465367875
10b,3145728,0.0,0,2,0.6,12.464375833
10b,3145728,0.0,0,2,0.6,12.44647325
10b,3145728,0.0,0,2,0.6,12.500755
10b,3145728,0.0,0,2,0.6,12.480470291
10b,3145728,0.0,0,2,0.6,12.468356042
10b,3145728,0.0,0,2,0.6,12.482256583
10b,3145728,0.0,0,2,0.6,12.461308875
10b,3145728,0.0,0,2,0.6,12.446004208
10b,3145728,0.0,0,2,0.8,12.452228958
10b,3145728,0.0,0,2,0.8,12.456513375
10b,3145728,0.0,0,2,0.8,12.463062
10b,3145728,0.0,0,2,0.8,13.478814125
10b,3145728,0.0,0,2,0.8,12.438965125
10b,3145728,0.0,0,2,0.8,12.453875167
10b,3145728,0.0,0,2,0.8,12.449772375
10b,3145728,0.0,0,2,0.8,12.624996458
10b,3145728,0.0,0,2,0.8,12.782899416
10b,3145728,0.0,0,2,0.8,12.446495625
10b,3145728,0.0,0,3,1.0,12.429475209
10b,3145728,0.0,0,3,1.0,12.421000542
10b,3145728,0.0,0,3,1.0,12.425907458
10b,3145728,0.0,0,3,1.0,12.4530615
10b,3145728,0.0,0,3,1.0,12.406866042
10b,3145728,0.0,0,3,1.0,12.519707041
10b,3145728,0.0,0,3,1.0,12.446783125
10b,3145728,0.0,0,3,1.0,12.414315584
10b,3145728,0.0,0,3,1.0,12.452122917
10b,3145728,0.0,0,3,1.0,12.390615083
