label,join_buffer_size_bytes,spill_ratio,spill_count,optimistic_count,optimism_level,duration_s
19d,2097152,0.0,0,0,0.0,20.567932709
19d,2097152,0.0,0,0,0.0,20.599077834
19d,2097152,0.0,0,0,0.0,20.577043792
19d,2097152,0.0,0,0,0.0,20.53713925
19d,2097152,0.0,0,0,0.0,20.595341167
19d,2097152,0.0,0,0,0.0,20.602332834
19d,2097152,0.0,0,0,0.0,20.566194625
19d,2097152,0.0,0,0,0.0,20.680231666
19d,2097152,0.0,0,0,0.0,20.679571542
19d,2097152,0.0,0,0,0.0,20.56052975
19d,2097152,0.0,0,2,0.2,20.548399125
19d,2097152,0.0,0,2,0.2,20.545384292
19d,2097152,0.0,0,2,0.2,20.624349209000002
19d,2097152,0.0,0,2,0.2,21.121580875
19d,2097152,0.0,0,2,0.2,20.667564792
19d,2097152,0.0,0,2,0.2,20.667165417
19d,2097152,0.0,0,2,0.2,20.65622075
19d,2097152,0.0,0,2,0.2,20.670235042
19d,2097152,0.0,0,2,0.2,20.650899625
19d,2097152,0.0,0,2,0.2,20.595299417
19d,2097152,0.0,0,2,0.4,20.559308791
19d,2097152,0.0,0,2,0.4,20.617152084
19d,2097152,0.0,0,2,0.4,20.636443708
19d,2097152,0.0,0,2,0.4,20.57236925
19d,2097152,0.0,0,2,0.4,20.616808375
19d,2097152,0.0,0,2,0.4,20.681938042
19d,2097152,0.0,0,2,0.4,20.683773833
19d,2097152,0.0,0,2,0.4,20.659021833
19d,2097152,0.0,0,2,0.4,21.748155167
19d,2097152,0.0,0,2,0.4,20.63656675
19d,2097152,0.0,0,2,0.6,20.623250041
19d,2097152,0.0,0,2,0.6,20.557418958
19d,2097152,0.0,0,2,0.6,20.596833542
19d,2097152,0.0,0,2,0.6,20.607453709
19d,2097152,0.0,0,2,0.6,20.616714916
19d,2097152,0.0,0,2,0.6,20.59797525
19d,2097152,0.0,0,2,0.6,20.607496708
19d,2097152,0.0,0,2,0.6,20.626853125
19d,2097152,0.0,0,2,0.6,20.584373625
19d,2097152,0.0,0,2,0.6,20.753477209
19d,2097152,0.0,0,2,0.8,20.570843417
19d,2097152,0.0,0,2,0.8,20.528488417
19d,2097152,0.0,0,2,0.8,20.552206916
19d,2097152,0.0,0,2,0.8,20.524957708
19d,2097152,0.0,0,2,0.8,20.602641958
19d,2097152,0.0,0,2,0.8,20.692991
19d,2097152,0.0,0,2,0.8,23.736776625
19d,2097152,0.0,0,2,0.8,21.079938167
19d,2097152,0.0,0,2,0.8,20.590801291
19d,2097152,0.0,0,2,0.8,20.619859667
19d,2097152,0.3333333333333333,1,3,1.0,21.226131917
19d,2097152,0.3333333333333333,1,3,1.0,21.791178542
19d,2097152,0.3333333333333333,1,3,1.0,20.89696
19d,2097152,0.3333333333333333,1,3,1.0,20.706855625
19d,2097152,0.3333333333333333,1,3,1.0,20.780449459
19d,2097152,0.3333333333333333,1,3,1.0,20.887005875
19d,2097152,0.3333333333333333,1,3,1.0,20.764146334
19d,2097152,0.3333333333333333,1,3,1.0,20.850877375
19d,2097152,0.3333333333333333,1,3,1.0,22.162566458
19d,2097152,0.3333333333333333,1,3,1.0,20.802568
