label,join_buffer_size_bytes,spill_ratio,spill_count,optimistic_count,optimism_level,duration_s
22a,262144,0.0,0,0,0.0,9.115761834
22a,262144,0.0,0,0,0.0,8.879195583
22a,262144,0.0,0,0,0.0,8.96504075
22a,262144,0.0,0,0,0.0,8.886239125
22a,262144,0.0,0,0,0.0,8.907007792
22a,262144,0.0,0,0,0.0,8.875922375
22a,262144,0.0,0,0,0.0,8.858625958
22a,262144,0.0,0,0,0.0,8.846351875
22a,262144,0.0,0,0,0.0,8.859427709
22a,262144,0.0,0,0,0.0,8.802366292
22a,262144,0.0,0,3,0.2,8.812929583
22a,262144,0.0,0,3,0.2,8.875751875
22a,262144,0.0,0,3,0.2,8.903056042
22a,262144,0.0,0,3,0.2,8.856224541
22a,262144,0.0,0,3,0.2,8.811296292
22a,262144,0.0,0,3,0.2,8.833260834
22a,262144,0.0,0,3,0.2,8.832331667
22a,262144,0.0,0,3,0.2,8.85087925
22a,262144,0.0,0,3,0.2,8.833538041
22a,262144,0.0,0,3,0.2,8.836509958
22a,262144,0.0,0,3,0.4,8.887355083
22a,262144,0.0,0,3,0.4,8.884525042
22a,262144,0.0,0,3,0.4,8.887520208
22a,262144,0.0,0,3,0.4,8.879958167
22a,262144,0.0,0,3,0.4,8.874973917
22a,262144,0.0,0,3,0.4,8.895660542
22a,262144,0.0,0,3,0.4,9.061442417
22a,262144,0.0,0,3,0.4,9.02134025
22a,262144,0.0,0,3,0.4,8.872946791
22a,262144,0.0,0,3,0.4,8.872408292
22a,262144,0.0,0,3,0.6,8.879483875
22a,262144,0.0,0,3,0.6,8.906572458
22a,262144,0.0,0,3,0.6,8.859741709
22a,262144,0.0,0,3,0.6,8.888443208
22a,262144,0.0,0,3,0.6,8.909775084
22a,262144,0.0,0,3,0.6,8.885312333
22a,262144,0.0,0,3,0.6,8.885080166
22a,262144,0.0,0,3,0.6,8.879117208
22a,262144,0.0,0,3,0.6,8.909465125
22a,262144,0.0,0,3,0.6,9.212625416
22a,262144,0.0,0,3,0.8,8.869917792
22a,262144,0.0,0,3,0.8,8.89136
22a,262144,0.0,0,3,0.8,8.873286583
22a,262144,0.0,0,3,0.8,8.903726459
22a,262144,0.0,0,3,0.8,8.90341075
22a,262144,0.0,0,3,0.8,8.851386167
22a,262144,0.0,0,3,0.8,8.888595125
22a,262144,0.0,0,3,0.8,8.880972708
22a,262144,0.0,0,3,0.8,8.874228542
22a,262144,0.0,0,3,0.8,9.217113583
22a,262144,0.0,0,3,1.0,8.880958958
22a,262144,0.0,0,3,1.0,8.870268541
22a,262144,0.0,0,3,1.0,8.846830375
22a,262144,0.0,0,3,1.0,8.868151375
22a,262144,0.0,0,3,1.0,8.821797042
22a,262144,0.0,0,3,1.0,8.859583292
22a,262144,0.0,0,3,1.0,8.853588917
22a,262144,0.0,0,3,1.0,8.856676792
22a,262144,0.0,0,3,1.0,8.87755825
22a,262144,0.0,0,3,1.0,9.346129459
