label,join_buffer_size_bytes,spill_ratio,spill_count,optimistic_count,optimism_level,duration_s
22a,2097152,0.0,0,0,0.0,7.56746525
22a,2097152,0.0,0,0,0.0,7.600495292
22a,2097152,0.0,0,0,0.0,7.582440125
22a,2097152,0.0,0,0,0.0,7.569561625
22a,2097152,0.0,0,0,0.0,7.602065583
22a,2097152,0.0,0,0,0.0,7.573363334
22a,2097152,0.0,0,0,0.0,7.591928875
22a,2097152,0.0,0,0,0.0,7.586776958
22a,2097152,0.0,0,0,0.0,7.579565791
22a,2097152,0.0,0,0,0.0,7.6310987919999995
22a,2097152,0.0,0,3,0.2,7.58948425
22a,2097152,0.0,0,3,0.2,7.571636375
22a,2097152,0.0,0,3,0.2,7.58375875
22a,2097152,0.0,0,3,0.2,7.562606542
22a,2097152,0.0,0,3,0.2,7.585815417
22a,2097152,0.0,0,3,0.2,7.56699375
22a,2097152,0.0,0,3,0.2,7.573932042
22a,2097152,0.0,0,3,0.2,7.558283916
22a,2097152,0.0,0,3,0.2,8.037247584
22a,2097152,0.0,0,3,0.2,7.583485542
22a,2097152,0.0,0,3,0.4,7.593434375
22a,2097152,0.0,0,3,0.4,7.575976833
22a,2097152,0.0,0,3,0.4,7.566365875
22a,2097152,0.0,0,3,0.4,7.581184375
22a,2097152,0.0,0,3,0.4,7.58431775
22a,2097152,0.0,0,3,0.4,7.57645525
22a,2097152,0.0,0,3,0.4,7.5666410410000005
22a,2097152,0.0,0,3,0.4,7.586745792
22a,2097152,0.0,0,3,0.4,7.555640042
22a,2097152,0.0,0,3,0.4,7.576182917
22a,2097152,0.0,0,3,0.6,7.556885
22a,2097152,0.0,0,3,0.6,7.5596565
22a,2097152,0.0,0,3,0.6,7.569092708
22a,2097152,0.0,0,3,0.6,7.569800458
22a,2097152,0.0,0,3,0.6,7.5576662500000005
22a,2097152,0.0,0,3,0.6,7.556285292
22a,2097152,0.0,0,3,0.6,7.555874
22a,2097152,0.0,0,3,0.6,7.575167417
22a,2097152,0.0,0,3,0.6,7.638404458
22a,2097152,0.0,0,3,0.6,7.575426875
22a,2097152,0.0,0,3,0.8,7.563597833
22a,2097152,0.0,0,3,0.8,7.566658708
22a,2097152,0.0,0,3,0.8,7.573830666
22a,2097152,0.0,0,3,0.8,7.564076708
22a,2097152,0.0,0,3,0.8,7.557670583
22a,2097152,0.0,0,3,0.8,7.607775292
22a,2097152,0.0,0,3,0.8,7.6331736249999995
22a,2097152,0.0,0,3,0.8,7.611881208
22a,2097152,0.0,0,3,0.8,7.56796375
22a,2097152,0.0,0,3,0.8,7.600647041
22a,2097152,0.0,0,3,1.0,7.576077917
22a,2097152,0.0,0,3,1.0,7.572107292
22a,2097152,0.0,0,3,1.0,7.572394292
22a,2097152,0.0,0,3,1.0,7.561183833
22a,2097152,0.0,0,3,1.0,7.579076625
22a,2097152,0.0,0,3,1.0,7.567484916
22a,2097152,0.0,0,3,1.0,7.587416958
22a,2097152,0.0,0,3,1.0,7.555585833
22a,2097152,0.0,0,3,1.0,7.575142667
22a,2097152,0.0,0,3,1.0,7.562591375
