label,query,join_buffer_size_bytes,optimistic_count,spill_count,duration_s
256KB,9d,262144,2,1,43.164199489
256KB,21a,262144,1,0,2.072841838
256KB,8b,262144,2,1,32.62273505
256KB,25b,262144,1,0,45.963666254
256KB,11b,262144,0,0,1.971246654
256KB,19c,262144,2,1,55.530207093
256KB,25a,262144,1,1,48.560552252
256KB,23a,262144,2,0,16.540658107
256KB,28c,262144,0,0,33.549398125
256KB,2c,262144,0,0,0.282435789
256KB,3b,262144,0,0,13.142715989
256KB,15a,262144,1,0,16.557577089
256KB,26c,262144,1,1,230.258541466
256KB,22d,262144,2,0,85.078428268
256KB,31c,262144,1,1,52.682777825
256KB,22a,262144,3,0,21.811278073
256KB,7b,262144,2,0,3.302692881
256KB,16d,262144,1,0,0.281785003
256KB,13c,262144,3,0,21.120891996
256KB,15c,262144,1,0,15.813538403
256KB,10b,262144,3,1,33.720548254
256KB,12b,262144,1,0,13.927881657
256KB,1a,262144,0,0,4.441041391
256KB,24b,262144,2,0,46.573992895
256KB,31a,262144,1,1,54.355270487
256KB,25c,262144,1,1,52.775534813
256KB,7c,262144,2,1,232.685035829
256KB,3c,262144,0,0,14.246522056
256KB,5b,262144,1,0,14.567123798
256KB,21b,262144,0,0,3.365669769
256KB,4b,262144,0,0,2.8567471429999998
256KB,18b,262144,2,0,10.663383007
256KB,27b,262144,1,0,3.351755608
256KB,6b,262144,2,0,4.026811845
256KB,13a,262144,1,0,24.382050128
256KB,22c,262144,2,0,46.187618597
256KB,2b,262144,0,0,0.272389776
256KB,8d,262144,2,1,145.073023732
256KB,23b,262144,1,0,16.60007318
256KB,2d,262144,0,0,0.284763519
256KB,4a,262144,0,0,6.15402272
256KB,20b,262144,1,1,53.160874783
256KB,17b,262144,2,0,0.631441381
256KB,29c,262144,2,1,44.103456823
256KB,17e,262144,1,0,0.271775675
256KB,6e,262144,2,0,3.957160294
256KB,4c,262144,0,0,6.671643581
256KB,14a,262144,1,0,26.928721449
256KB,9b,262144,2,1,34.118419676
256KB,7a,262144,2,0,3.247208712
256KB,11a,262144,0,0,2.018471895
256KB,11d,262144,2,0,4.992196718
256KB,18c,262144,1,1,47.270830313
256KB,6a,262144,2,0,4.03215722
256KB,20c,262144,1,1,294.232984291
256KB,18a,262144,1,1,58.18466999
256KB,17a,262144,1,0,0.284834238
256KB,17d,262144,2,0,0.607423083
256KB,30c,262144,2,1,65.99752917
256KB,14b,262144,2,0,15.527862095
256KB,23c,262144,2,0,16.639012349
256KB,1d,262144,0,0,3.7370244870000002
256KB,2a,262144,0,0,0.27798505
256KB,8a,262144,2,1,32.865027928
256KB,17c,262144,2,0,0.627792586
256KB,12a,262144,0,0,15.955879264
256KB,11c,262144,1,0,7.648737271
256KB,32a,262144,1,0,0.277336938
256KB,28b,262144,1,0,20.593275103
256KB,33b,262144,1,0,6.022692658
256KB,9c,262144,2,1,42.213149338
256KB,26a,262144,2,1,166.50878323
256KB,10c,262144,2,1,42.851255009
