label,join_buffer_size_bytes,join_buffer_size_label,join_id,actual_time_get_all_ms
stq1,2097152,2MB,1,265.0
stq1,2097152,2MB,2,165.0
stq1,2097152,2MB,3,106.0
stq1,2097152,2MB,4,79.0
stq1,2097152,2MB,5,53.8
stq1,2097152,2MB,1,268.0
stq1,2097152,2MB,2,167.0
stq1,2097152,2MB,3,107.0
stq1,2097152,2MB,4,78.4
stq1,2097152,2MB,5,52.8
stq1,2097152,2MB,1,273.0
stq1,2097152,2MB,2,167.0
stq1,2097152,2MB,3,108.0
stq1,2097152,2MB,4,80.1
stq1,2097152,2MB,5,54.4
stq1,2097152,2MB,1,269.0
stq1,2097152,2MB,2,165.0
stq1,2097152,2MB,3,106.0
stq1,2097152,2MB,4,77.8
stq1,2097152,2MB,5,52.4
stq1,2097152,2MB,1,266.0
stq1,2097152,2MB,2,166.0
stq1,2097152,2MB,3,107.0
stq1,2097152,2MB,4,78.9
stq1,2097152,2MB,5,53.7
stq1,2097152,2MB,1,267.0
stq1,2097152,2MB,2,165.0
stq1,2097152,2MB,3,107.0
stq1,2097152,2MB,4,79.4
stq1,2097152,2MB,5,54.1
stq1,2097152,2MB,1,266.0
stq1,2097152,2MB,2,164.0
stq1,2097152,2MB,3,106.0
stq1,2097152,2MB,4,78.1
stq1,2097152,2MB,5,52.9
stq1,2097152,2MB,1,268.0
stq1,2097152,2MB,2,166.0
stq1,2097152,2MB,3,107.0
stq1,2097152,2MB,4,78.7
stq1,2097152,2MB,5,53.0
stq1,2097152,2MB,1,265.0
stq1,2097152,2MB,2,164.0
stq1,2097152,2MB,3,106.0
stq1,2097152,2MB,4,78.0
stq1,2097152,2MB,5,53.0
stq1,2097152,2MB,1,272.0
stq1,2097152,2MB,2,169.0
stq1,2097152,2MB,3,109.0
stq1,2097152,2MB,4,80.3
stq1,2097152,2MB,5,54.3
stq1,2097152,2MB,1,268.0
stq1,2097152,2MB,2,167.0
stq1,2097152,2MB,3,108.0
stq1,2097152,2MB,4,79.7
stq1,2097152,2MB,5,54.2
stq1,2097152,2MB,1,267.0
stq1,2097152,2MB,2,165.0
stq1,2097152,2MB,3,106.0
stq1,2097152,2MB,4,78.4
stq1,2097152,2MB,5,53.1
stq1,2097152,2MB,1,265.0
stq1,2097152,2MB,2,165.0
stq1,2097152,2MB,3,106.0
stq1,2097152,2MB,4,78.5
stq1,2097152,2MB,5,53.1
stq1,2097152,2MB,1,267.0
stq1,2097152,2MB,2,166.0
stq1,2097152,2MB,3,107.0
stq1,2097152,2MB,4,79.0
stq1,2097152,2MB,5,53.3
stq1,2097152,2MB,1,274.0
stq1,2097152,2MB,2,171.0
stq1,2097152,2MB,3,109.0
stq1,2097152,2MB,4,80.3
stq1,2097152,2MB,5,53.6
stq1,2097152,2MB,1,266.0
stq1,2097152,2MB,2,165.0
stq1,2097152,2MB,3,106.0
stq1,2097152,2MB,4,78.7
stq1,2097152,2MB,5,53.6
