label,join_buffer_size_bytes,join_buffer_size_label,join_id,actual_time_get_all_ms
stq2,262144,256KB,1,479.0
stq2,262144,256KB,2,329.0
stq2,262144,256KB,3,291.0
stq2,262144,256KB,4,224.0
stq2,262144,256KB,5,201.0
stq2,262144,256KB,6,114.0
stq2,262144,256KB,7,101.0
stq2,262144,256KB,8,94.0
stq2,262144,256KB,9,83.0
stq2,262144,256KB,10,57.5
stq2,262144,256KB,1,478.0
stq2,262144,256KB,2,332.0
stq2,262144,256KB,3,294.0
stq2,262144,256KB,4,227.0
stq2,262144,256KB,5,204.0
stq2,262144,256KB,6,115.0
stq2,262144,256KB,7,102.0
stq2,262144,256KB,8,95.1
stq2,262144,256KB,9,84.2
stq2,262144,256KB,10,58.2
stq2,262144,256KB,1,493.0
stq2,262144,256KB,2,336.0
stq2,262144,256KB,3,291.0
stq2,262144,256KB,4,224.0
stq2,262144,256KB,5,201.0
stq2,262144,256KB,6,114.0
stq2,262144,256KB,7,101.0
stq2,262144,256KB,8,94.6
stq2,262144,256KB,9,83.8
stq2,262144,256KB,10,58.3
stq2,262144,256KB,1,474.0
stq2,262144,256KB,2,327.0
stq2,262144,256KB,3,289.0
stq2,262144,256KB,4,222.0
stq2,262144,256KB,5,199.0
stq2,262144,256KB,6,112.0
stq2,262144,256KB,7,99.4
stq2,262144,256KB,8,92.9
stq2,262144,256KB,9,82.3
stq2,262144,256KB,10,57.3
stq2,262144,256KB,1,481.0
stq2,262144,256KB,2,334.0
stq2,262144,256KB,3,295.0
stq2,262144,256KB,4,225.0
stq2,262144,256KB,5,203.0
stq2,262144,256KB,6,114.0
stq2,262144,256KB,7,101.0
stq2,262144,256KB,8,94.4
stq2,262144,256KB,9,83.6
stq2,262144,256KB,10,58.0
stq2,262144,256KB,1,484.0
stq2,262144,256KB,2,336.0
stq2,262144,256KB,3,298.0
stq2,262144,256KB,4,230.0
stq2,262144,256KB,5,207.0
stq2,262144,256KB,6,120.0
stq2,262144,256KB,7,107.0
stq2,262144,256KB,8,101.0
stq2,262144,256KB,9,90.2
stq2,262144,256KB,10,65.2
stq2,262144,256KB,1,495.0
stq2,262144,256KB,2,347.0
stq2,262144,256KB,3,309.0
stq2,262144,256KB,4,241.0
stq2,262144,256KB,5,217.0
stq2,262144,256KB,6,126.0
stq2,262144,256KB,7,113.0
stq2,262144,256KB,8,106.0
stq2,262144,256KB,9,95.0
stq2,262144,256KB,10,68.3
stq2,262144,256KB,1,478.0
stq2,262144,256KB,2,329.0
stq2,262144,256KB,3,291.0
stq2,262144,256KB,4,223.0
stq2,262144,256KB,5,200.0
