label,query,optimistic_count
query79,query79,0
query45,query45,0
query51,query51,0
query86,query86,0
query93,query93,0
query87,query87,0
query50,query50,0
query44,query44,0
query78,query78,0
query8,query8,1
query52,query52,0
query46,query46,0
query91,query91,0
query85,query85,0
query84,query84,0
query90,query90,0
query47,query47,0
query53,query53,0
query9,query9,0
query57,query57,0
query43,query43,0
query94,query94,0
query80,query80,1
query81,query81,0
query95,query95,1
query42,query42,0
query56,query56,0
query40,query40,1
query54,query54,1
query68,query68,0
query83,query83,0
query97,query97,1
query96,query96,0
query82,query82,0
query69,query69,0
query55,query55,0
query41,query41,0
query26,query26,0
query33,query33,0
query27,query27,0
query19,query19,0
query31,query31,0
query25,query25,0
query24,query24,0
query30,query30,0
query18,query18,0
query34,query34,0
query20,query20,1
query21,query21,0
query37,query37,0
query36,query36,0
query22,query22,0
query13,query13,0
query12,query12,1
query38,query38,0
query11,query11,0
query39,query39,0
query15,query15,0
query29,query29,0
query28,query28,0
query16,query16,0
query17,query17,0
query58,query58,0
query64,query64,0
query2,query2,1
query70,query70,0
query3,query3,0
query71,query71,0
query65,query65,0
query59,query59,0
query73,query73,0
query1,query1,0
query67,query67,0
query98,query98,1
query99,query99,0
query66,query66,0
query72,query72,0
query4,query4,0
query76,query76,0
query62,query62,0
query89,query89,0
query88,query88,0
query63,query63,0
query77,query77,2
query61,query61,0
query75,query75,0
query7,query7,0
query49,query49,3
query48,query48,0
query74,query74,0
query6,query6,0
query60,query60,0
