label,join_buffer_size_bytes,spill_ratio,spill_count,optimistic_count,optimism_level,duration_s
10b,786432,0.0,0,0,0.0,24.39120163
10b,786432,0.0,0,0,0.0,24.638226788
10b,786432,0.0,0,0,0.0,24.348447839
10b,786432,0.0,0,0,0.0,24.596700018
10b,786432,0.0,0,0,0.0,24.311952655
10b,786432,0.0,0,0,0.0,24.635968919
10b,786432,0.0,0,0,0.0,24.546402364
10b,786432,0.0,0,0,0.0,24.657135753
10b,786432,0.0,0,0,0.0,24.493363294
10b,786432,0.0,0,0,0.0,24.739938302
10b,786432,0.0,0,0,0.0,24.399395026
10b,786432,0.0,0,0,0.0,24.416224239
10b,786432,0.0,0,0,0.0,24.513725247
10b,786432,0.0,0,0,0.0,24.506334444
10b,786432,0.0,0,0,0.0,24.29517448
10b,786432,0.0,0,0,0.0,24.340131925
10b,786432,0.0,0,0,0.0,24.333713611
10b,786432,0.0,0,0,0.0,24.644021563
10b,786432,0.0,0,0,0.0,24.286764825
10b,786432,0.0,0,0,0.0,24.490721625
10b,786432,0.0,0,0,0.0,24.167440016
10b,786432,0.0,0,0,0.0,24.355212172
10b,786432,0.0,0,0,0.0,24.367570187
10b,786432,0.0,0,0,0.0,24.46611821
10b,786432,0.0,0,0,0.0,24.269464652
