label,join_buffer_size_bytes,spill_ratio,spill_count,optimistic_count,optimism_level,duration_s
19d,2097152,0.0,0,0,0.0,118.874864072
19d,2097152,0.0,0,0,0.0,119.576744205
19d,2097152,0.0,0,0,0.0,117.084450117
19d,2097152,0.0,0,0,0.0,120.278739527
19d,2097152,0.0,0,0,0.0,121.674416624
19d,2097152,0.0,0,0,0.0,118.598910805
19d,2097152,0.0,0,0,0.0,119.80551685
19d,2097152,0.0,0,0,0.0,115.663340899
19d,2097152,0.0,0,0,0.0,122.326493763
19d,2097152,0.0,0,0,0.0,115.536966956
19d,2097152,0.0,0,0,0.0,116.570386544
19d,2097152,0.0,0,0,0.0,117.728096191
19d,2097152,0.0,0,0,0.0,115.992789289
19d,2097152,0.0,0,0,0.0,116.704217048
19d,2097152,0.0,0,0,0.0,119.30960643
19d,2097152,0.0,0,0,0.0,115.008230413
19d,2097152,0.0,0,0,0.0,117.077342717
19d,2097152,0.0,0,0,0.0,114.889234802
19d,2097152,0.0,0,0,0.0,115.009953267
19d,2097152,0.0,0,0,0.0,118.729651217
19d,2097152,0.0,0,0,0.0,116.093958482
19d,2097152,0.0,0,0,0.0,117.76514962
19d,2097152,0.0,0,0,0.0,116.465649585
19d,2097152,0.0,0,0,0.0,120.220424799
19d,2097152,0.0,0,0,0.0,122.339568178
