label,join_buffer_size_bytes,spill_ratio,spill_count,optimistic_count,optimism_level,duration_s
22a,2097152,0.0,0,0,0.0,14.119911364
22a,2097152,0.0,0,0,0.0,14.181301016
22a,2097152,0.0,0,0,0.0,14.270284091
22a,2097152,0.0,0,0,0.0,14.247176986
22a,2097152,0.0,0,0,0.0,14.236688509
22a,2097152,0.0,0,0,0.0,14.245071531
22a,2097152,0.0,0,0,0.0,14.189498279
22a,2097152,0.0,0,0,0.0,14.205420437
22a,2097152,0.0,0,0,0.0,14.216750426
22a,2097152,0.0,0,0,0.0,14.23161705
22a,2097152,0.0,0,0,0.0,14.180584737
22a,2097152,0.0,0,0,0.0,14.273486883
22a,2097152,0.0,0,0,0.0,14.167344593
22a,2097152,0.0,0,0,0.0,14.273010166
22a,2097152,0.0,0,0,0.0,14.224136649
22a,2097152,0.0,0,0,0.0,14.174272407
22a,2097152,0.0,0,0,0.0,14.189378659
22a,2097152,0.0,0,0,0.0,14.2408415
22a,2097152,0.0,0,0,0.0,14.196834059
22a,2097152,0.0,0,0,0.0,14.258381745
22a,2097152,0.0,0,0,0.0,14.177303495
22a,2097152,0.0,0,0,0.0,14.22484143
22a,2097152,0.0,0,0,0.0,14.194824503
22a,2097152,0.0,0,0,0.0,14.318113862
22a,2097152,0.0,0,0,0.0,14.273372707
