label,join_buffer_size_bytes,spill_ratio,spill_count,optimistic_count,optimism_level,duration_s
10b,1572864,0.0,0,0,0.0,24.1354089
10b,1572864,0.0,0,0,0.0,23.885600656
10b,1572864,0.0,0,0,0.0,24.039071883
10b,1572864,0.0,0,0,0.0,24.269797126
10b,1572864,0.0,0,0,0.0,24.217368162
10b,1572864,0.0,0,0,0.0,23.834215871
10b,1572864,0.0,0,0,0.0,24.162905592
10b,1572864,0.0,0,0,0.0,23.974828848
10b,1572864,0.0,0,0,0.0,24.345568787
10b,1572864,0.0,0,0,0.0,24.057198165
10b,1572864,0.0,0,0,0.0,24.377608783
10b,1572864,0.0,0,0,0.0,23.898405942
10b,1572864,0.0,0,0,0.0,24.181122041
10b,1572864,0.0,0,0,0.0,24.063388896
10b,1572864,0.0,0,0,0.0,24.259984989
10b,1572864,0.0,0,0,0.0,24.029427969
10b,1572864,0.0,0,0,0.0,24.293694563
10b,1572864,0.0,0,0,0.0,24.119500526
10b,1572864,0.0,0,0,0.0,24.106878271
10b,1572864,0.0,0,0,0.0,24.161955795
10b,1572864,0.0,0,0,0.0,24.087666129
10b,1572864,0.0,0,0,0.0,23.867689779
10b,1572864,0.0,0,0,0.0,24.171966147
10b,1572864,0.0,0,0,0.0,23.866286534
10b,1572864,0.0,0,0,0.0,24.06601305
10b,1572864,0.0,0,1,0.2,23.88513409
10b,1572864,0.0,0,1,0.2,24.254708159
10b,1572864,0.0,0,1,0.2,23.965720344
10b,1572864,0.0,0,1,0.2,24.394408055
10b,1572864,0.0,0,1,0.2,24.219359499
10b,1572864,0.0,0,1,0.2,24.178411998
10b,1572864,0.0,0,1,0.2,24.017842891
10b,1572864,0.0,0,1,0.2,24.225765935
10b,1572864,0.0,0,1,0.2,23.95054475
10b,1572864,0.0,0,1,0.2,24.212840127
10b,1572864,0.0,0,1,0.2,24.023893398
10b,1572864,0.0,0,1,0.2,24.237034148
10b,1572864,0.0,0,1,0.2,23.83765881
10b,1572864,0.0,0,1,0.2,24.225968288
10b,1572864,0.0,0,1,0.2,23.898155569
10b,1572864,0.0,0,1,0.2,24.220367562
10b,1572864,0.0,0,1,0.2,24.050920248
10b,1572864,0.0,0,1,0.2,24.316393266
10b,1572864,0.0,0,1,0.2,23.945062227
10b,1572864,0.0,0,1,0.2,24.281838253
10b,1572864,0.0,0,1,0.2,24.2973554
10b,1572864,0.0,0,1,0.2,24.071471392
10b,1572864,0.0,0,1,0.2,24.105350415
10b,1572864,0.0,0,1,0.2,24.074907105
10b,1572864,0.0,0,1,0.2,24.133044169
10b,1572864,0.0,0,1,0.4,24.2450579
10b,1572864,0.0,0,1,0.4,23.91118056
10b,1572864,0.0,0,1,0.4,24.278473357
10b,1572864,0.0,0,1,0.4,23.992075346
10b,1572864,0.0,0,1,0.4,24.090328984
10b,1572864,0.0,0,1,0.4,23.960528022
10b,1572864,0.0,0,1,0.4,24.281351113
10b,1572864,0.0,0,1,0.4,24.089941389
10b,1572864,0.0,0,1,0.4,24.375679973
10b,1572864,0.0,0,1,0.4,24.357587371
10b,1572864,0.0,0,1,0.4,24.109053313
10b,1572864,0.0,0,1,0.4,23.890624639
10b,1572864,0.0,0,1,0.4,24.228876513
10b,1572864,0.0,0,1,0.4,24.026880033
10b,1572864,0.0,0,1,0.4,24.095400558
10b,1572864,0.0,0,1,0.4,24.147413372
10b,1572864,0.0,0,1,0.4,24.304393165
10b,1572864,0.0,0,1,0.4,23.782700692
10b,1572864,0.0,0,1,0.4,24.260023044
10b,1572864,0.0,0,1,0.4,23.934003902
10b,1572864,0.0,0,1,0.4,24.230511367
10b,1572864,0.0,0,1,0.4,23.993355559
10b,1572864,0.0,0,1,0.4,24.423596239
10b,1572864,0.0,0,1,0.4,23.940804335
10b,1572864,0.0,0,1,0.4,24.440074977
10b,1572864,0.0,0,1,0.6,24.14864723
10b,1572864,0.0,0,1,0.6,24.455486966
10b,1572864,0.0,0,1,0.6,24.001890163
10b,1572864,0.0,0,1,0.6,24.239864173
10b,1572864,0.0,0,1,0.6,23.982721751
10b,1572864,0.0,0,1,0.6,24.209045111000002
10b,1572864,0.0,0,1,0.6,23.989678821
10b,1572864,0.0,0,1,0.6,24.098837749
10b,1572864,0.0,0,1,0.6,23.947261188
10b,1572864,0.0,0,1,0.6,24.32670293
10b,1572864,0.0,0,1,0.6,23.89280494
10b,1572864,0.0,0,1,0.6,24.25245337
10b,1572864,0.0,0,1,0.6,23.960059972
10b,1572864,0.0,0,1,0.6,24.309088571
10b,1572864,0.0,0,1,0.6,24.188541323
10b,1572864,0.0,0,1,0.6,24.056806367
10b,1572864,0.0,0,1,0.6,23.819013803
10b,1572864,0.0,0,1,0.6,24.028830227
10b,1572864,0.0,0,1,0.6,24.045916824
10b,1572864,0.0,0,1,0.6,24.104922729
10b,1572864,0.0,0,1,0.6,23.991324831
10b,1572864,0.0,0,1,0.6,24.034235502
10b,1572864,0.0,0,1,0.6,23.961024095
10b,1572864,0.0,0,1,0.6,24.013352836
10b,1572864,0.0,0,1,0.6,24.135216301
10b,1572864,0.0,0,1,0.8,24.278885164
10b,1572864,0.0,0,1,0.8,23.789043152
10b,1572864,0.0,0,1,0.8,24.024331673
10b,1572864,0.0,0,1,0.8,24.212379546
10b,1572864,0.0,0,1,0.8,24.137375847
10b,1572864,0.0,0,1,0.8,24.034089489
10b,1572864,0.0,0,1,0.8,24.096577936
10b,1572864,0.0,0,1,0.8,24.002776394
10b,1572864,0.0,0,1,0.8,24.029792797
10b,1572864,0.0,0,1,0.8,24.017070771
10b,1572864,0.0,0,1,0.8,24.131556051
10b,1572864,0.0,0,1,0.8,24.041302953
10b,1572864,0.0,0,1,0.8,24.34239201
10b,1572864,0.0,0,1,0.8,24.005565249
