label,join_buffer_size_bytes,spill_ratio,spill_count,optimistic_count,optimism_level,duration_s
10b,2097152,0.0,0,0,0.0,0.422194635
10b,2097152,0.0,0,0,0.0,0.418302904
10b,2097152,0.0,0,0,0.0,0.421997643
10b,2097152,0.0,0,0,0.0,0.415733789
10b,2097152,0.0,0,0,0.0,0.418694612
10b,2097152,0.0,0,0,0.0,0.419304732
10b,2097152,0.0,0,0,0.0,0.411112004
10b,2097152,0.0,0,1,0.2,0.426574702
10b,2097152,0.0,0,1,0.2,0.422843893
10b,2097152,0.0,0,1,0.2,0.41983493
10b,2097152,0.0,0,1,0.2,0.420159674
10b,2097152,0.0,0,1,0.2,0.436826662
10b,2097152,0.0,0,1,0.2,0.419731899
10b,2097152,0.0,0,1,0.2,0.427713655
10b,2097152,0.0,0,1,0.4,0.42486742
10b,2097152,0.0,0,1,0.4,0.423089333
10b,2097152,0.0,0,1,0.4,0.423688386
10b,2097152,0.0,0,1,0.4,0.428625123
10b,2097152,0.0,0,1,0.4,0.434182119
10b,2097152,0.0,0,1,0.4,0.424279508
10b,2097152,0.0,0,1,0.4,0.424135125
10b,2097152,0.0,0,1,0.6,0.418953389
10b,2097152,0.0,0,1,0.6,0.422203441
10b,2097152,0.0,0,1,0.6,0.424737898
10b,2097152,0.0,0,1,0.6,0.419665468
10b,2097152,0.0,0,1,0.6,0.428694256
10b,2097152,0.0,0,1,0.6,0.424626684
10b,2097152,0.0,0,1,0.6,0.429030946
10b,2097152,0.0,0,1,0.8,0.422688391
10b,2097152,0.0,0,1,0.8,0.424832273
10b,2097152,0.0,0,1,0.8,0.421851791
10b,2097152,0.0,0,1,0.8,0.423710066
10b,2097152,0.0,0,1,0.8,0.425678315
10b,2097152,0.0,0,1,0.8,0.423785171
10b,2097152,0.0,0,1,0.8,0.422566975
10b,2097152,0.0,0,1,1.0,0.424614864
10b,2097152,0.0,0,1,1.0,0.417990393
10b,2097152,0.0,0,1,1.0,0.423329563
10b,2097152,0.0,0,1,1.0,0.42442595
10b,2097152,0.0,0,1,1.0,0.419044344
10b,2097152,0.0,0,1,1.0,0.425290714
10b,2097152,0.0,0,1,1.0,0.424065293
