label,join_buffer_size_bytes,spill_ratio,spill_count,optimistic_count,optimism_level,duration_s
10b,786432,0.0,0,0,0.0,24.453542344
10b,786432,0.0,0,0,0.0,24.562446272
10b,786432,0.0,0,0,0.0,24.590810035
10b,786432,0.0,0,0,0.0,24.405099768
10b,786432,0.0,0,0,0.0,24.552619538
10b,786432,0.0,0,0,0.0,24.351683668
10b,786432,0.0,0,0,0.0,24.47629392
10b,786432,0.0,0,0,0.0,24.442180901
10b,786432,0.0,0,0,0.0,24.471937665
10b,786432,0.0,0,0,0.0,24.262890479
10b,786432,0.0,0,0,0.0,24.501997924
10b,786432,0.0,0,0,0.0,24.375111563
10b,786432,0.0,0,0,0.0,24.547051882
10b,786432,0.0,0,0,0.0,24.459527723
10b,786432,0.0,0,0,0.0,24.339494079
10b,786432,0.0,0,0,0.0,24.397334879
10b,786432,0.0,0,0,0.0,24.47910345
10b,786432,0.0,0,0,0.0,24.534674596
10b,786432,0.0,0,0,0.0,24.496339063
10b,786432,0.0,0,0,0.0,24.421331063
10b,786432,0.0,0,0,0.0,24.614449617
10b,786432,0.0,0,0,0.0,24.559150341
10b,786432,0.0,0,0,0.0,24.701968561
10b,786432,0.0,0,0,0.0,24.344055297
10b,786432,0.0,0,0,0.0,24.528315671
10b,786432,0.0,0,1,0.2,24.447065845
10b,786432,0.0,0,1,0.2,24.390435052
10b,786432,0.0,0,1,0.2,24.641261655
10b,786432,0.0,0,1,0.2,24.341837322
10b,786432,0.0,0,1,0.2,24.368958499
10b,786432,0.0,0,1,0.2,24.458248155
10b,786432,0.0,0,1,0.2,24.572904961
10b,786432,0.0,0,1,0.2,24.689655436
10b,786432,0.0,0,1,0.2,24.568382813
10b,786432,0.0,0,1,0.2,24.744432553
10b,786432,0.0,0,1,0.2,24.419914271
10b,786432,0.0,0,1,0.2,24.425995515
10b,786432,0.0,0,1,0.2,24.563304095
10b,786432,0.0,0,1,0.2,24.573512192
10b,786432,0.0,0,1,0.2,24.505584679000002
10b,786432,0.0,0,1,0.2,24.803408369
10b,786432,0.0,0,1,0.2,24.397822581
10b,786432,0.0,0,1,0.2,24.389550804
10b,786432,0.0,0,1,0.2,24.501191348
10b,786432,0.0,0,1,0.2,24.424328554
10b,786432,0.0,0,1,0.2,24.232451116
10b,786432,0.0,0,1,0.2,24.534833889
10b,786432,0.0,0,1,0.2,24.411572899
10b,786432,0.0,0,1,0.2,24.404264313
10b,786432,0.0,0,1,0.2,24.418638718
10b,786432,0.0,0,1,0.4,24.494069464
10b,786432,0.0,0,1,0.4,24.545442699
10b,786432,0.0,0,1,0.4,24.388517489
10b,786432,0.0,0,1,0.4,24.499041238
10b,786432,0.0,0,1,0.4,24.515853234
10b,786432,0.0,0,1,0.4,24.536448566
10b,786432,0.0,0,1,0.4,24.521429994000002
10b,786432,0.0,0,1,0.4,24.559206471
10b,786432,0.0,0,1,0.4,24.529845744
10b,786432,0.0,0,1,0.4,24.644919989
10b,786432,0.0,0,1,0.4,24.553360368
10b,786432,0.0,0,1,0.4,24.495046345
10b,786432,0.0,0,1,0.4,24.59726873
10b,786432,0.0,0,1,0.4,24.164281584
10b,786432,0.0,0,1,0.4,24.492478603
10b,786432,0.0,0,1,0.4,24.446478783
10b,786432,0.0,0,1,0.4,24.523492619
10b,786432,0.0,0,1,0.4,24.424965237
10b,786432,0.0,0,1,0.4,24.476191481
10b,786432,0.0,0,1,0.4,24.577628064
10b,786432,0.0,0,1,0.4,24.525928076
10b,786432,0.0,0,1,0.4,24.741688738
10b,786432,0.0,0,1,0.4,24.459439676
10b,786432,0.0,0,1,0.4,24.649820967
10b,786432,0.0,0,1,0.4,24.599307378
10b,786432,0.0,0,1,0.6,24.71147657
10b,786432,0.0,0,1,0.6,24.417725598
10b,786432,0.0,0,1,0.6,24.423358759
10b,786432,0.0,0,1,0.6,24.571587874
10b,786432,0.0,0,1,0.6,24.38680396
10b,786432,0.0,0,1,0.6,24.361872713
10b,786432,0.0,0,1,0.6,24.502217073
10b,786432,0.0,0,1,0.6,24.535161032
10b,786432,0.0,0,1,0.6,24.345701894
10b,786432,0.0,0,1,0.6,24.629562323000002
10b,786432,0.0,0,1,0.6,24.386249936
10b,786432,0.0,0,1,0.6,24.431829712
10b,786432,0.0,0,1,0.6,24.528768982
10b,786432,0.0,0,1,0.6,24.444896932
10b,786432,0.0,0,1,0.6,24.452341414
10b,786432,0.0,0,1,0.6,24.474339795
10b,786432,0.0,0,1,0.6,24.365998203
10b,786432,0.0,0,1,0.6,24.634560799
10b,786432,0.0,0,1,0.6,24.468794193
10b,786432,0.0,0,1,0.6,24.631035784
10b,786432,0.0,0,1,0.6,24.459619529
10b,786432,0.0,0,1,0.6,24.591633872
10b,786432,0.0,0,1,0.6,24.469231932
10b,786432,0.0,0,1,0.6,24.565411553
10b,786432,0.0,0,1,0.6,24.308193022
10b,786432,0.0,0,1,0.8,24.827406248
10b,786432,0.0,0,1,0.8,24.645253585
10b,786432,0.0,0,1,0.8,24.455728214
10b,786432,0.0,0,1,0.8,24.367738575
10b,786432,0.0,0,1,0.8,24.360550008
10b,786432,0.0,0,1,0.8,24.373776153
10b,786432,0.0,0,1,0.8,24.542895816
10b,786432,0.0,0,1,0.8,24.364260899
10b,786432,0.0,0,1,0.8,24.507887658
10b,786432,0.0,0,1,0.8,24.389248533
10b,786432,0.0,0,1,0.8,24.522856044
10b,786432,0.0,0,1,0.8,24.429660478
10b,786432,0.0,0,1,0.8,24.626258462
10b,786432,0.0,0,1,0.8,24.354066876
10b,786432,0.0,0,1,0.8,24.749091974
10b,786432,0.0,0,1,0.8,24.253143188
10b,786432,0.0,0,1,0.8,24.608741619
10b,786432,0.0,0,1,0.8,24.56035897
10b,786432,0.0,0,1,0.8,24.413559612
10b,786432,0.0,0,1,0.8,24.365194422
10b,786432,0.0,0,1,0.8,24.491647075
10b,786432,0.0,0,1,0.8,24.426952774
10b,786432,0.0,0,1,0.8,24.448888735
10b,786432,0.0,0,1,0.8,24.505429892
10b,786432,0.0,0,1,0.8,24.590008169
10b,786432,0.3333333333333333,1,3,1.0,24.304191119
10b,786432,0.3333333333333333,1,3,1.0,24.616662003
10b,786432,0.3333333333333333,1,3,1.0,24.485343266
10b,786432,0.3333333333333333,1,3,1.0,24.601464084
10b,786432,0.3333333333333333,1,3,1.0,24.388140099
10b,786432,0.3333333333333333,1,3,1.0,24.699476845
10b,786432,0.3333333333333333,1,3,1.0,24.424187982
10b,786432,0.3333333333333333,1,3,1.0,24.566174468
10b,786432,0.3333333333333333,1,3,1.0,24.464752109
10b,786432,0.3333333333333333,1,3,1.0,24.571599209
10b,786432,0.3333333333333333,1,3,1.0,24.407883952
10b,786432,0.3333333333333333,1,3,1.0,24.651851902
10b,786432,0.3333333333333333,1,3,1.0,24.217579755
10b,786432,0.3333333333333333,1,3,1.0,24.479676976
10b,786432,0.3333333333333333,1,3,1.0,24.427992496
10b,786432,0.3333333333333333,1,3,1.0,24.580536511
10b,786432,0.3333333333333333,1,3,1.0,24.515359911
10b,786432,0.3333333333333333,1,3,1.0,24.844910179
10b,786432,0.3333333333333333,1,3,1.0,24.44918409
10b,786432,0.3333333333333333,1,3,1.0,24.58652211
10b,786432,0.3333333333333333,1,3,1.0,24.53815429
10b,786432,0.3333333333333333,1,3,1.0,24.529165137
10b,786432,0.3333333333333333,1,3,1.0,24.50152348
10b,786432,0.3333333333333333,1,3,1.0,24.533097824
10b,786432,0.3333333333333333,1,3,1.0,24.349584043
