label,join_buffer_size_bytes,spill_ratio,spill_count,optimistic_count,optimism_level,duration_s
17a,2097152,0.0,0,0,0.0,0.126690627
17a,2097152,0.0,0,0,0.0,0.128664358
17a,2097152,0.0,0,0,0.0,0.127179233
17a,2097152,0.0,0,0,0.0,0.129336584
17a,2097152,0.0,0,0,0.0,0.130859245
17a,2097152,0.0,0,0,0.0,0.126916792
17a,2097152,0.0,0,0,0.0,0.127473035
17a,2097152,0.0,0,0,0.2,0.128177916
17a,2097152,0.0,0,0,0.2,0.130814148
17a,2097152,0.0,0,0,0.2,0.129294231
17a,2097152,0.0,0,0,0.2,0.126589998
17a,2097152,0.0,0,0,0.2,0.128864978
17a,2097152,0.0,0,0,0.2,0.128188189
17a,2097152,0.0,0,0,0.2,0.130554021
17a,2097152,0.0,0,0,0.4,0.12677853
17a,2097152,0.0,0,0,0.4,0.126696991
17a,2097152,0.0,0,0,0.4,0.127949778
17a,2097152,0.0,0,0,0.4,0.12755137
17a,2097152,0.0,0,0,0.4,0.126260724
17a,2097152,0.0,0,0,0.4,0.128689299
17a,2097152,0.0,0,0,0.4,0.127380453
17a,2097152,0.0,0,0,0.6,0.126933103
17a,2097152,0.0,0,0,0.6,0.126790898
17a,2097152,0.0,0,0,0.6,0.129639813
17a,2097152,0.0,0,0,0.6,0.127841457
17a,2097152,0.0,0,0,0.6,0.127965484
17a,2097152,0.0,0,0,0.6,0.129525823
17a,2097152,0.0,0,0,0.6,0.127062808
17a,2097152,0.0,0,0,0.8,0.127659172
17a,2097152,0.0,0,0,0.8,0.127078563
17a,2097152,0.0,0,0,0.8,0.12883302
17a,2097152,0.0,0,0,0.8,0.130513898
17a,2097152,0.0,0,0,0.8,0.127415613
17a,2097152,0.0,0,0,0.8,0.126950303
17a,2097152,0.0,0,0,0.8,0.127174897
17a,2097152,0.0,0,0,1.0,0.128759148
17a,2097152,0.0,0,0,1.0,0.12790872
17a,2097152,0.0,0,0,1.0,0.127784914
17a,2097152,0.0,0,0,1.0,0.126417742
17a,2097152,0.0,0,0,1.0,0.127962655
17a,2097152,0.0,0,0,1.0,0.128308141
17a,2097152,0.0,0,0,1.0,0.127717881
