label,join_buffer_size_bytes,spill_ratio,spill_count,optimistic_count,optimism_level,duration_s
17e,2097152,0.0,0,0,0.0,0.125475898
17e,2097152,0.0,0,0,0.0,0.126426298
17e,2097152,0.0,0,0,0.0,0.128655644
17e,2097152,0.0,0,0,0.0,0.128182697
17e,2097152,0.0,0,0,0.0,0.12894346
17e,2097152,0.0,0,0,0.0,0.126247685
17e,2097152,0.0,0,0,0.0,0.126017511
17e,2097152,0.0,0,0,0.2,0.128469967
17e,2097152,0.0,0,0,0.2,0.128690589
17e,2097152,0.0,0,0,0.2,0.127106447
17e,2097152,0.0,0,0,0.2,0.127688934
17e,2097152,0.0,0,0,0.2,0.124735939
17e,2097152,0.0,0,0,0.2,0.12615507
17e,2097152,0.0,0,0,0.2,0.129254222
17e,2097152,0.0,0,0,0.4,0.127770547
17e,2097152,0.0,0,0,0.4,0.12603059
17e,2097152,0.0,0,0,0.4,0.127270287
17e,2097152,0.0,0,0,0.4,0.126969353
17e,2097152,0.0,0,0,0.4,0.125565911
17e,2097152,0.0,0,0,0.4,0.128511763
17e,2097152,0.0,0,0,0.4,0.12743609
17e,2097152,0.0,0,0,0.6,0.125408605
17e,2097152,0.0,0,0,0.6,0.127837362
17e,2097152,0.0,0,0,0.6,0.130573495
17e,2097152,0.0,0,0,0.6,0.127414934
17e,2097152,0.0,0,0,0.6,0.127060902
17e,2097152,0.0,0,0,0.6,0.12824809
17e,2097152,0.0,0,0,0.6,0.130874808
17e,2097152,0.0,0,0,0.8,0.127809118
17e,2097152,0.0,0,0,0.8,0.127056148
17e,2097152,0.0,0,0,0.8,0.129570001
17e,2097152,0.0,0,0,0.8,0.127996603
17e,2097152,0.0,0,0,0.8,0.126279714
17e,2097152,0.0,0,0,0.8,0.128213884
17e,2097152,0.0,0,0,0.8,0.126949097
17e,2097152,0.0,0,0,1.0,0.12912839
17e,2097152,0.0,0,0,1.0,0.129907335
17e,2097152,0.0,0,0,1.0,0.12819321
17e,2097152,0.0,0,0,1.0,0.126445768
17e,2097152,0.0,0,0,1.0,0.126325777
17e,2097152,0.0,0,0,1.0,0.126459585
17e,2097152,0.0,0,0,1.0,0.128187351
