label,join_buffer_size_bytes,spill_ratio,spill_count,optimistic_count,optimism_level,duration_s
19d,524288,0.0,0,0,0.0,121.913050127
19d,524288,0.0,0,0,0.0,119.232553303
19d,524288,0.0,0,0,0.0,117.606486358
19d,524288,0.0,0,0,0.0,116.312678935
19d,524288,0.0,0,0,0.0,120.180170571
19d,524288,0.0,0,0,0.0,116.890509896
19d,524288,0.0,0,0,0.0,123.38923742
19d,524288,0.0,0,0,0.0,121.499385116
19d,524288,0.0,0,0,0.0,122.240405723
19d,524288,0.0,0,0,0.0,119.009032255
19d,524288,0.0,0,0,0.0,122.590891103
19d,524288,0.0,0,0,0.0,121.366824153
19d,524288,0.0,0,0,0.0,114.758976148
19d,524288,0.0,0,0,0.0,116.376926889
19d,524288,0.0,0,0,0.0,119.45671083
19d,524288,0.0,0,0,0.0,118.237662614
19d,524288,0.0,0,0,0.0,122.20638597
19d,524288,0.0,0,0,0.0,119.019152834
19d,524288,0.0,0,0,0.0,116.962783117
19d,524288,0.0,0,0,0.0,119.481784402
19d,524288,0.0,0,0,0.0,117.874500684
19d,524288,0.0,0,0,0.0,121.631923584
19d,524288,0.0,0,0,0.0,124.712781637
19d,524288,0.0,0,0,0.0,122.830666776
19d,524288,0.0,0,0,0.0,117.60012195
19d,524288,0.0,0,1,0.2,116.431759382
19d,524288,0.0,0,1,0.2,118.9072549
19d,524288,0.0,0,1,0.2,114.41367253
19d,524288,0.0,0,1,0.2,112.074583289
19d,524288,0.0,0,1,0.2,113.736809009
19d,524288,0.0,0,1,0.2,117.65992894
19d,524288,0.0,0,1,0.2,113.205378368
19d,524288,0.0,0,1,0.2,116.466958955
19d,524288,0.0,0,1,0.2,113.896071971
19d,524288,0.0,0,1,0.2,115.202921555
19d,524288,0.0,0,1,0.2,112.362596543
19d,524288,0.0,0,1,0.2,114.005335289
19d,524288,0.0,0,1,0.2,112.284652946
19d,524288,0.0,0,1,0.2,113.270570273
19d,524288,0.0,0,1,0.2,112.285944963
19d,524288,0.0,0,1,0.2,113.192803626
19d,524288,0.0,0,1,0.2,111.914952532
19d,524288,0.0,0,1,0.2,114.468062453
19d,524288,0.0,0,1,0.2,114.499085527
19d,524288,0.0,0,1,0.2,112.461627051
19d,524288,0.0,0,1,0.2,115.046905921
19d,524288,0.0,0,1,0.2,113.867788952
19d,524288,0.0,0,1,0.2,115.04401715
19d,524288,0.0,0,1,0.2,112.072910973
19d,524288,0.0,0,1,0.2,114.511806234
19d,524288,0.0,0,1,0.4,112.562336596
19d,524288,0.0,0,1,0.4,122.765214597
19d,524288,0.0,0,1,0.4,118.719268787
