label,join_buffer_size_bytes,spill_ratio,spill_count,optimistic_count,optimism_level,duration_s
20c,2097152,0.0,0,0,0.0,2.179078155
20c,2097152,0.0,0,0,0.0,2.165471954
20c,2097152,0.0,0,0,0.0,2.192772939
20c,2097152,0.0,0,0,0.0,2.157588806
20c,2097152,0.0,0,0,0.0,2.187135738
20c,2097152,0.0,0,0,0.0,2.181500797
20c,2097152,0.0,0,0,0.0,2.15747044
20c,2097152,0.0,0,0,0.2,2.188474471
20c,2097152,0.0,0,0,0.2,2.169282812
20c,2097152,0.0,0,0,0.2,2.171745969
20c,2097152,0.0,0,0,0.2,2.187080531
20c,2097152,0.0,0,0,0.2,2.188877322
20c,2097152,0.0,0,0,0.2,2.172663628
20c,2097152,0.0,0,0,0.2,2.17520051
20c,2097152,0.0,0,0,0.4,2.164156663
20c,2097152,0.0,0,0,0.4,2.165977615
20c,2097152,0.0,0,0,0.4,2.173429501
20c,2097152,0.0,0,0,0.4,2.16755081
20c,2097152,0.0,0,0,0.4,2.186522066
20c,2097152,0.0,0,0,0.4,2.180770604
20c,2097152,0.0,0,0,0.4,2.179898262
20c,2097152,0.0,0,0,0.6,2.1706365659999998
20c,2097152,0.0,0,0,0.6,2.170366009
20c,2097152,0.0,0,0,0.6,2.178354454
20c,2097152,0.0,0,0,0.6,2.155909238
20c,2097152,0.0,0,0,0.6,2.182545849
20c,2097152,0.0,0,0,0.6,2.157869721
20c,2097152,0.0,0,0,0.6,2.166071312
20c,2097152,0.0,0,0,0.8,2.204596678
20c,2097152,0.0,0,0,0.8,2.188359476
20c,2097152,0.0,0,0,0.8,2.163919676
20c,2097152,0.0,0,0,0.8,2.183725693
20c,2097152,0.0,0,0,0.8,2.173345994
20c,2097152,0.0,0,0,0.8,2.162305666
20c,2097152,0.0,0,0,0.8,2.178861237
20c,2097152,0.0,0,0,1.0,2.183447778
20c,2097152,0.0,0,0,1.0,2.171085802
20c,2097152,0.0,0,0,1.0,2.192153035
20c,2097152,0.0,0,0,1.0,2.171090995
20c,2097152,0.0,0,0,1.0,2.167638262
20c,2097152,0.0,0,0,1.0,2.1863136
20c,2097152,0.0,0,0,1.0,2.172010903
