label,join_buffer_size_bytes,spill_ratio,spill_count,optimistic_count,optimism_level,duration_s
22a,524288,0.0,0,0,0.0,15.882117384
22a,524288,0.0,0,0,0.0,15.969151859
22a,524288,0.0,0,0,0.0,15.933603824
22a,524288,0.0,0,0,0.0,15.902254632
22a,524288,0.0,0,0,0.0,15.920995949
22a,524288,0.0,0,0,0.0,15.89675911
22a,524288,0.0,0,0,0.0,15.811013497
22a,524288,0.0,0,0,0.0,15.949651053
22a,524288,0.0,0,0,0.0,15.883326369
22a,524288,0.0,0,0,0.0,15.870974057
22a,524288,0.0,0,0,0.0,15.881741956
22a,524288,0.0,0,0,0.0,15.83305861
22a,524288,0.0,0,0,0.0,15.916386438
22a,524288,0.0,0,0,0.0,15.869682008
22a,524288,0.0,0,0,0.0,15.922609664
22a,524288,0.0,0,0,0.0,15.891060652
22a,524288,0.0,0,0,0.0,15.865263076
22a,524288,0.0,0,0,0.0,15.860116967
22a,524288,0.0,0,0,0.0,15.858798587999999
22a,524288,0.0,0,0,0.0,15.88374419
22a,524288,0.0,0,0,0.0,15.821151922
22a,524288,0.0,0,0,0.0,15.933335446
22a,524288,0.0,0,0,0.0,15.888753176
22a,524288,0.0,0,0,0.0,15.8424867
22a,524288,0.0,0,0,0.0,15.887720539
22a,524288,0.0,0,2,0.2,15.878573617
22a,524288,0.0,0,2,0.2,15.881720445
22a,524288,0.0,0,2,0.2,15.916343854
22a,524288,0.0,0,2,0.2,15.846777436
22a,524288,0.0,0,2,0.2,15.922572657
22a,524288,0.0,0,2,0.2,15.822519621
22a,524288,0.0,0,2,0.2,15.913127923
22a,524288,0.0,0,2,0.2,15.884986853000001
22a,524288,0.0,0,2,0.2,15.801733565
22a,524288,0.0,0,2,0.2,15.804187774
22a,524288,0.0,0,2,0.2,15.764530758
22a,524288,0.0,0,2,0.2,15.788361487
22a,524288,0.0,0,2,0.2,15.852333079
22a,524288,0.0,0,2,0.2,15.783909058
22a,524288,0.0,0,2,0.2,15.883231138
22a,524288,0.0,0,2,0.2,15.8876635
22a,524288,0.0,0,2,0.2,15.792820309
22a,524288,0.0,0,2,0.2,15.87065231
22a,524288,0.0,0,2,0.2,15.93731876
22a,524288,0.0,0,2,0.2,15.812580554
22a,524288,0.0,0,2,0.2,15.786162703
22a,524288,0.0,0,2,0.2,15.87728276
22a,524288,0.0,0,2,0.2,15.905675427
22a,524288,0.0,0,2,0.2,15.918868632
22a,524288,0.0,0,2,0.2,15.866049951
22a,524288,0.0,0,2,0.4,15.840892251
22a,524288,0.0,0,2,0.4,15.88540463
22a,524288,0.0,0,2,0.4,15.797800725
22a,524288,0.0,0,2,0.4,15.908229378
22a,524288,0.0,0,2,0.4,15.956557534
22a,524288,0.0,0,2,0.4,15.823929883
22a,524288,0.0,0,2,0.4,15.774503671
22a,524288,0.0,0,2,0.4,15.814742988999999
22a,524288,0.0,0,2,0.4,15.784175214
22a,524288,0.0,0,2,0.4,15.776708049
22a,524288,0.0,0,2,0.4,15.737341788
22a,524288,0.0,0,2,0.4,15.773262299
22a,524288,0.0,0,2,0.4,15.814498601
22a,524288,0.0,0,2,0.4,15.788860539
22a,524288,0.0,0,2,0.4,15.798706622
