label,join_buffer_size_bytes,spill_ratio,spill_count,optimistic_count,optimism_level,duration_s
6f,2097152,0.0,0,0,0.0,42.410756844
6f,2097152,0.0,0,0,0.0,41.319287967
6f,2097152,0.0,0,0,0.0,42.044400637
6f,2097152,0.0,0,0,0.0,41.851856191
6f,2097152,0.0,0,0,0.0,41.600038385
6f,2097152,0.0,0,0,0.0,41.941470105
6f,2097152,0.0,0,0,0.0,41.5265685
6f,2097152,0.0,0,0,0.2,45.349960027
6f,2097152,0.0,0,0,0.2,42.086133111
6f,2097152,0.0,0,0,0.2,42.648159218
6f,2097152,0.0,0,0,0.2,41.438448698
6f,2097152,0.0,0,0,0.2,41.47593985
6f,2097152,0.0,0,0,0.2,42.289082022
6f,2097152,0.0,0,0,0.2,44.498567748
6f,2097152,0.0,0,0,0.4,41.701396322
6f,2097152,0.0,0,0,0.4,41.419722913
6f,2097152,0.0,0,0,0.4,41.885499932
6f,2097152,0.0,0,0,0.4,41.690428871
6f,2097152,0.0,0,0,0.4,41.873393969
6f,2097152,0.0,0,0,0.4,41.237187471
6f,2097152,0.0,0,0,0.4,41.829971233
6f,2097152,0.0,0,0,0.6,43.353965725
6f,2097152,0.0,0,0,0.6,41.505887896
6f,2097152,0.0,0,0,0.6,41.549691756
6f,2097152,0.0,0,0,0.6,41.597815445
6f,2097152,0.0,0,0,0.6,42.788079146
6f,2097152,0.0,0,0,0.6,41.844496922
6f,2097152,0.0,0,0,0.6,41.555388659
6f,2097152,0.0,0,0,0.8,41.652474128
6f,2097152,0.0,0,0,0.8,42.123503537
6f,2097152,0.0,0,0,0.8,41.859012426
6f,2097152,0.0,0,0,0.8,41.319771136
6f,2097152,0.0,0,0,0.8,42.173528857
6f,2097152,0.0,0,0,0.8,41.433457289
6f,2097152,0.0,0,0,0.8,41.664900075
6f,2097152,1.0,2,2,1.0,42.059043596
6f,2097152,1.0,2,2,1.0,42.775434014
6f,2097152,1.0,2,2,1.0,44.239556971
6f,2097152,1.0,2,2,1.0,42.090833353
6f,2097152,1.0,2,2,1.0,43.00839419
6f,2097152,1.0,2,2,1.0,43.033672344
6f,2097152,1.0,2,2,1.0,42.072962076
