label,join_buffer_size_bytes,spill_ratio,spill_count,optimistic_count,optimism_level,duration_s
q4-1,786432,0.0,0,0,0.0,262.196953872
q4-1,786432,0.0,0,0,0.0,264.972993258
q4-1,786432,0.0,0,0,0.0,266.430953244
q4-1,786432,0.0,0,0,0.0,262.421901117
q4-1,786432,0.0,0,0,0.0,262.714611805
q4-1,786432,0.0,0,0,0.0,263.695664656
q4-1,786432,0.0,0,0,0.0,264.78863298
q4-1,786432,0.0,0,0,0.0,261.389379618
q4-1,786432,0.0,0,0,0.0,263.189120268
q4-1,786432,0.0,0,0,0.0,266.497781235
q4-1,786432,0.0,0,0,0.1,261.211726257
q4-1,786432,0.0,0,0,0.1,262.946616948
q4-1,786432,0.0,0,0,0.1,260.310280057
q4-1,786432,0.0,0,0,0.1,261.653021945
q4-1,786432,0.0,0,0,0.1,262.731218646
q4-1,786432,0.0,0,0,0.1,263.995890327
q4-1,786432,0.0,0,0,0.1,264.73883888
q4-1,786432,0.0,0,0,0.1,265.421945876
q4-1,786432,0.0,0,0,0.1,267.737501287
q4-1,786432,0.0,0,0,0.1,263.173822898
q4-1,786432,0.0,0,0,0.2,262.738111756
q4-1,786432,0.0,0,0,0.2,262.309010833
q4-1,786432,0.0,0,0,0.2,261.141891844
q4-1,786432,0.0,0,0,0.2,261.058874122
q4-1,786432,0.0,0,0,0.2,261.81998819
q4-1,786432,0.0,0,0,0.2,262.559178283
q4-1,786432,0.0,0,0,0.2,265.241916798
q4-1,786432,0.0,0,0,0.2,262.829841016
q4-1,786432,0.0,0,0,0.2,259.139562884
q4-1,786432,0.0,0,0,0.2,263.535817455
q4-1,786432,0.0,0,0,0.3,263.181059519
q4-1,786432,0.0,0,0,0.3,262.50266612
q4-1,786432,0.0,0,0,0.3,261.989313262
q4-1,786432,0.0,0,0,0.3,262.431512458
q4-1,786432,0.0,0,0,0.3,262.042662611
q4-1,786432,0.0,0,0,0.3,259.81898076
q4-1,786432,0.0,0,0,0.3,262.328094963
q4-1,786432,0.0,0,0,0.3,264.920383584
q4-1,786432,0.0,0,0,0.3,263.477622827
q4-1,786432,0.0,0,0,0.3,263.372396793
q4-1,786432,0.0,0,0,0.4,262.196820736
q4-1,786432,0.0,0,0,0.4,262.082994063
q4-1,786432,0.0,0,0,0.4,264.306465784
q4-1,786432,0.0,0,0,0.4,263.841996537
q4-1,786432,0.0,0,0,0.4,264.543808533
q4-1,786432,0.0,0,0,0.4,264.353832446
q4-1,786432,0.0,0,0,0.4,261.258355251
q4-1,786432,0.0,0,0,0.4,261.44833486
q4-1,786432,0.0,0,0,0.4,262.639124599
q4-1,786432,0.0,0,0,0.4,263.904564812
q4-1,786432,1.0,1,1,0.5,303.496711821
q4-1,786432,1.0,1,1,0.5,298.785725667
q4-1,786432,1.0,1,1,0.5,301.539292143
q4-1,786432,1.0,1,1,0.5,296.78331208
q4-1,786432,1.0,1,1,0.5,297.033345204
q4-1,786432,1.0,1,1,0.5,300.583761625
q4-1,786432,1.0,1,1,0.5,298.013469891
q4-1,786432,1.0,1,1,0.5,297.918853515
q4-1,786432,1.0,1,1,0.5,301.599485798
q4-1,786432,1.0,1,1,0.5,300.295651246
q4-1,786432,1.0,1,1,0.6,300.377308165
q4-1,786432,1.0,1,1,0.6,297.262508908
q4-1,786432,1.0,1,1,0.6,298.394410497
q4-1,786432,1.0,1,1,0.6,300.533738049
q4-1,786432,1.0,1,1,0.6,303.694839267
q4-1,786432,1.0,1,1,0.6,303.908291898
q4-1,786432,1.0,1,1,0.6,305.559747049
q4-1,786432,1.0,1,1,0.6,304.360041602
q4-1,786432,1.0,1,1,0.6,301.366161491
q4-1,786432,1.0,1,1,0.6,299.190718041
q4-1,786432,1.0,1,1,0.7,297.556961053
q4-1,786432,1.0,1,1,0.7,297.866870933
q4-1,786432,1.0,1,1,0.7,299.749846626
q4-1,786432,1.0,1,1,0.7,300.803361039
q4-1,786432,1.0,1,1,0.7,299.860284489
q4-1,786432,1.0,1,1,0.7,303.73293755
q4-1,786432,1.0,1,1,0.7,302.629163967
q4-1,786432,1.0,1,1,0.7,297.879419582
q4-1,786432,1.0,1,1,0.7,302.570672456
q4-1,786432,1.0,1,1,0.7,300.114410081
q4-1,786432,1.0,1,1,0.8,300.641557823
q4-1,786432,1.0,1,1,0.8,300.304478347
q4-1,786432,1.0,1,1,0.8,304.576980753
q4-1,786432,1.0,1,1,0.8,299.320973912
q4-1,786432,1.0,1,1,0.8,298.440456551
q4-1,786432,1.0,1,1,0.8,303.719930699
q4-1,786432,1.0,1,1,0.8,302.906083897
q4-1,786432,1.0,1,1,0.8,298.56266784
q4-1,786432,1.0,1,1,0.8,303.142546218
q4-1,786432,1.0,1,1,0.8,299.647264404
q4-1,786432,1.0,1,1,0.9,301.44382599
q4-1,786432,1.0,1,1,0.9,300.158965547
q4-1,786432,1.0,1,1,0.9,301.728180444
q4-1,786432,1.0,1,1,0.9,301.178964538
q4-1,786432,1.0,1,1,0.9,300.372280734
q4-1,786432,1.0,1,1,0.9,304.801215167
q4-1,786432,1.0,1,1,0.9,304.430526112
q4-1,786432,1.0,1,1,0.9,301.382098616
q4-1,786432,1.0,1,1,0.9,300.124627366
q4-1,786432,1.0,1,1,0.9,299.404322209
q4-1,786432,1.0,1,1,1.0,298.771722265
q4-1,786432,1.0,1,1,1.0,300.882377669
q4-1,786432,1.0,1,1,1.0,302.604186184
q4-1,786432,1.0,1,1,1.0,302.108092761
q4-1,786432,1.0,1,1,1.0,302.731373297
q4-1,786432,1.0,1,1,1.0,306.27290778
q4-1,786432,1.0,1,1,1.0,300.974772821
q4-1,786432,1.0,1,1,1.0,301.800420119
q4-1,786432,1.0,1,1,1.0,303.235642905
q4-1,786432,1.0,1,1,1.0,300.351963266
