label,join_buffer_size_bytes,spill_ratio,duration_s,optimistic_count,spill_count
256KB,262144,0.3333333333333333,33.954387905,3,1
384KB,393216,0.3333333333333333,33.742134241,3,1
512KB,524288,0.3333333333333333,33.253623993,3,1
768KB,786432,0.3333333333333333,33.700269118,3,1
1MB,1048576,0.3333333333333333,33.471065246,3,1
1.5MB,1572864,0.3333333333333333,33.34858406,3,1
2MB,2097152,0.3333333333333333,33.356440453,3,1
3MB,3145728,0.5,33.119806548,2,1
4MB,4194304,0.5,33.124867376,2,1
6MB,6291456,0.0,31.861581712,2,0
