label,join_buffer_size_bytes,spill_ratio,duration_s,optimistic_count,spill_count
256KB,262144,0.3333333333333333,80.746974516,3,1
384KB,393216,0.3333333333333333,87.964739285,3,1
512KB,524288,0.3333333333333333,86.289355679,3,1
768KB,786432,0.3333333333333333,87.560368446,3,1
1MB,1048576,0.3333333333333333,97.314393565,3,1
1.5MB,1572864,0.3333333333333333,91.277605669,3,1
2MB,2097152,0.3333333333333333,90.429031642,3,1
3MB,3145728,0.3333333333333333,85.456043461,3,1
4MB,4194304,0.3333333333333333,91.411861314,3,1
6MB,6291456,0.3333333333333333,90.84145902,3,1
