label,join_buffer_size_bytes,spill_ratio,duration_s,optimistic_count,spill_count
256KB,262144,1.0,1.216093541,13,13
384KB,393216,0.7692307692307693,1.079019875,13,10
512KB,524288,0.6923076923076923,1.004925584,13,9
768KB,786432,0.38461538461538464,0.694902583,13,5
1MB,1048576,0.3076923076923077,0.673837583,13,4
1.5MB,1572864,0.23076923076923078,0.316388584,13,3
2MB,2097152,0.07692307692307693,0.238387792,13,1
3MB,3145728,0.07692307692307693,0.233989542,13,1
4MB,4194304,0.0,0.226203,13,0
6MB,6291456,0.0,0.230657542,13,0
